"","id","year","majortopic","subtopic","official_id","titre","summary","type","legislature","original_topic","original_subtopic","day","month","date1","date2","divided_government","divided_legislature"
"1",22,1979,1,"100","79-51","Loi portant approbation d'un rapport sur l'adaptation du VII Plan","","Loi",6,1,100,19,1,19790119,197901,0,0
"2",58,1979,1,"100","79-585","Loi portant approbation du rapport sur les principales options du VIIIe plan","","Loi",6,1,100,11,7,19790711,197907,0,0
"3",61,1979,1,"105","79-590","Loi portant règlement définitif du budget de 1977","","Loi",6,1,105,12,7,19790712,197907,0,0
"4",71,1979,1,"105","79-1102","Loi de finances rectificative pour 1979","","Loi",6,1,105,21,12,19791221,197912,0,0
"5",92,1979,1,"107","79-1159","Loi autorisant le Gouvernement à continuer à percevoir en 1980 les impôts et taxes existants","","Loi",6,1,107,30,12,19791230,197912,0,0
"6",38,1979,1,"108","79-525","Loi relative au soutien de l'investissement productif industriel","","Loi",6,1,108,3,7,19790703,197907,0,0
"7",100,1980,1,"105","80-30","Loi de finances pour 1980","","Loi",6,1,105,18,1,19800118,198001,0,0
"8",150,1980,1,"104","80-980","Loi relative aux billets de banque contrefaits ou falsifiés et aux monnaies métalliques contrefaites ou altérées","","Loi",6,1,104,5,12,19801205,198012,0,0
"9",156,1980,1,"105","80-1039","Loi de finances rectificative pour 1980","","Loi",6,1,105,23,12,19801223,198012,0,0
"10",172,1980,1,"105","80-1055","Loi de finances rectificative pour 1980","","Loi",6,1,105,23,12,19801223,198012,0,0
"11",176,1980,1,"105","80-1094","Loi de finance pour 1981","","Loi",6,1,105,30,12,19801230,198012,0,0
"12",177,1980,1,"105","80-1095","Loi portant réglement définitif au budget de 1978","","Loi",6,1,105,30,12,19801230,198012,0,0
"13",99,1980,1,"107","80-10","Loi portant aménagement de la fiscalité directe locale","","Loi",6,1,107,10,1,19800110,198001,0,0
"14",191,1981,1,"105","81-734","Loi de finances rectificative pour 1981","","Loi",7,1,105,3,8,19810803,198108,1,1
"15",221,1981,1,"105","81-1050","Loi de finances rectificative pour 1981","","Loi",7,1,105,27,11,19811127,198111,1,1
"16",232,1981,1,"105","81-1160","Loi de finance pour 1982","","Loi",7,1,105,30,12,19811230,198112,1,1
"17",235,1981,1,"105","81-1179","Loi de finances rectificative pour 1981 (3e collectif)","","Loi",7,1,105,31,12,19811231,198112,1,1
"18",236,1981,1,"105","81-1180","Loi de finances rectificative pour 1981 (4ë collectif) (agriculture)","","Loi",7,1,105,31,12,19811231,198112,1,1
"19",233,1981,1,"110","81-1161","Loi relative à la modération des loyers","","Loi",7,1,110,30,12,19811230,198112,1,1
"20",238,1982,1,"100","82-3","Loi d'orientation autorisant le Gouvernement, par application de l'article 38 de la Constitution, à prendre des mesures d'ordre social","Pour l'exécution de son programme d'amélioration de la situation de l'emploi et des conditions de vie des travailleurs, le Gouvernement est autorisé à prendre par ordonnances, jusqu'au 31 mars 1982, dans les conditions prévues à l'article 38 de la Constitution, toutes mesures qui sont normalement du domaine de la loi et qui répondent aux orientations suivantes :","Loi",7,1,100,6,1,19820106,198201,1,1
"21",240,1982,1,"100","82-6","Loi approuvant le plan intérimaire pour 1982 et 1983","","Loi",7,1,100,7,1,19820107,198201,1,1
"22",301,1982,1,"100","82-653","Loi portant réforme de la planification","","Loi",7,1,100,29,7,19820729,198207,1,1
"23",304,1982,1,"100","82-669","Loi portant création du fonds spécial de grands travaux","","Loi",7,1,100,3,8,19820803,198208,1,1
"24",303,1982,1,"110","82-660","Loi sur les prix et les revenus","","Loi",7,1,110,30,7,19820730,198207,1,1
