id,year,date,legislative_id,legislature,type,political party,president,description,link,majortopic,subtopic
1,2003,06/01/03,"Lei nº 10.638, de 6 de Janeiro de 2003",5,6,4,5,Institui o Programa Permanente de Combate à Seca - PROSECA.,http://www.lexml.gov.br/urn/urn:lex:br:federal:lei:2003-01-06;10638,4,404
2,2003,09/01/03,"Lei nº 10.639, de 9 de Janeiro de 2003",5,6,4,5,"Altera a Lei nº 9.394, de 20 de dezembro de 1996, que estabelece as diretrizes e bases da educação nacional, para incluir no currículo oficial da Rede de Ensino a obrigatoriedade da temática ""História e Cultura Afro-Brasileira"", e dá outras providências.",http://www.lexml.gov.br/urn/urn:lex:br:federal:lei:2003-01-09;10639,6,607
3,2003,14/01/03,"Lei nº 10.640, de 14 de Janeiro de 2003",5,6,4,5,Estima a receita e fixa a despesa da União para o exercício de 2003.,http://www.lexml.gov.br/urn/urn:lex:br:federal:lei:2003-01-14;10640,1,105
4,2003,28/01/03,"Lei nº 10.641, de 28 de Janeiro de 2003",5,6,4,5,"Inscreve o nome de Luís Alves de Lima e Silva, o Duque de Caxias, no ""Livro dos Heróis da Pátria"".",http://www.lexml.gov.br/urn/urn:lex:br:federal:lei:2003-01-28;10641,20,2006
5,2003,11/03/03,"Lei nº 10.642, de 11 de Março de 2003",5,6,4,5,"Denomina ""Aeroporto de Imperatriz - Prefeito Renato Moreira"" o Aeroporto de Imperatriz, no Estado do Maranhão.",http://www.lexml.gov.br/urn/urn:lex:br:federal:lei:2003-03-11;10642,20,2006
6,2003,14/03/03,"Lei nº 10.643, de 14 de Março de 2003",5,6,4,5,Autoriza o Poder Executivo a doar à República do Paraguai vacinas e equipamentos indispensáveis ao combate à febre aftosa.,http://www.lexml.gov.br/urn/urn:lex:br:federal:lei:2003-03-14;10643,19,1901
7,2003,14/03/03,"Lei nº 10.644, de 14 de Março de 2003",5,6,4,5,"Abre crédito extraordinário, em favor de Encargos Financeiros da União e Refinanciamento da Dívida Pública Mobiliária Federal, no valor global de R$ 17.084.740.385,00, para os fins que especifica.",http://www.lexml.gov.br/urn/urn:lex:br:federal:lei:2003-03-14;10644,1,105
8,2003,18/03/03,"Lei nº 10.645, de 18 de Março de 2003",5,6,4,5,"Abre crédito extraordinário, em favor do Ministério da Integração Nacional, no valor de R$ 10.000.000,00, para os fins que especifica.",http://www.lexml.gov.br/urn/urn:lex:br:federal:lei:2003-03-18;10645,14,1400
9,2003,28/03/03,"Lei nº 10.646, de 28 de Março de 2003",5,6,4,5,"Altera as Leis nºs 10.464, de 24 de maio de 2002; 10.177, de 12 de janeiro de 2001; e 10.437, de 25 de abril de 2002; autoriza, para as operações adquiridas pela União sob a égide da Medida Provisória nº 2.196-3, de 24 de agosto de 2001, que se enquadram na Lei nº 10.437, de 25 de abril de 2002, a substituição dos encargos financeiros pactuados; e dispõe sobre reconversão de atividades de mutuários com dívidas junto a bancos oficiais federais; e dá outras providências.",http://www.lexml.gov.br/urn/urn:lex:br:federal:lei:2003-03-28;10646,15,1501
10,2003,02/04/03,"Lei nº 10.647, de 2 de Abril de 2003",5,6,4,5,"Denomina ""Aeroporto de Montes Claros/Mário Ribeiro"" o aeroporto da cidade de Montes Claros, Estado de Minas Gerais.",http://www.lexml.gov.br/urn/urn:lex:br:federal:lei:2003-04-02;10647,20,2006
