id,legislature,year,month,description,type_of_law,majortopic,subtopic
1,1,1980,1,"Ley Orgánica 1/1980, de 10 de enero, del Consejo General del Poder Judicial. ",Organic law,12,1200
2,1,1980,1,"Ley Orgánica 2/1980, de 18 de enero sobre regulación de las distintas modalidades de Referéndum. ",Organic law,2,206
3,1,1980,1,"Ley 1/1980, de 4 de enero, sobre concesión de pensiones a las viudas menores de 50 años de los trabajadores por cuenta propia, del Régimen Especial Agrario de la Seguridad Social. ",Ordinary law,15,1599
4,1,1980,1,"Ley 2/1980, de 4 de enero, sobre concesión de varios suplementos de crédito por un importe total de 150.517.196 pesetas, al presupuesto en vigor de la Universidad de Santiago, para abono de gastos de funcionamiento de los colegios Universitarios de la Coruña, Lugo y Orense, cuyos presupuestos han sido integrados en la citada Universidad. ",Ordinary law,6,601
5,1,1980,1,"Ley 3/1980, de 10 de enero, de regulación de cuotas de pantalla y distribución cinematográfica. ",Ordinary law,23,2300
6,1,1980,1,"Ley 4/1980, de 10 de enero, de Estatuto de la Radio y Televisión. ",Ordinary law,17,1707
7,1,1980,1,"Real Decreto-ley 1/1980, de 25 de enero, sobre presupuestos extraordinarios de liquidación de deuda de las Corporaciones Locales y su financiación (BOE, núm. 25, de 29 de enero de 1980). (PDF) ",Decree law,20,2001
8,1,1980,1,"Real Decreto-ley 2/1980, de 11 de enero, sobre medidas económico-fiscales complementarias de la elevación del precio de los productos petrolíferos (BOE, núm. 27, de 31 de enero de 1980). (PDF) ",Decree law,1,100
9,1,1980,2,"Ley 5/1980, de 22 de febrero, relativa a medidas para resolver el problema de los derechos históricos en la comarca de Malagón y para promover el desarrollo integral de la misma. ",Ordinary law,14,1405
10,1,1980,3,"Ley 10/1980, de 14 de marzo, sobre modificación del Real Decreto-Ley número 6/1978, de 6 de marzo, por el que se regula la situación de los militares que intervinieron en la guerra civil. ",Ordinary law,1,105
11,1,1980,3,"Ley 11/1980, de 22 de marzo, sobre integración de ""Minas de Figaredo S.A."", en el sector público. ",Ordinary law,12,1204
12,1,1980,3,"Ley 12/1980, de 22 de marzo, sobre concesión de un suplemento de crédito por importe de 512.460.000 pesetas, al presupuesto en vigor del Ministerio de Justicia para satisfacer a los abogados su actuación en el turno de oficio. ",Ordinary law,20,2001
13,1,1980,3,"Ley 13/1980, de 31 de marzo, General de la Cultura Física y del Deporte. ",Ordinary law,15,1526
14,1,1980,3,"Ley 6/1980, de 3 de marzo, de actuaciones urgentes en materia de aguas en la provincia de Almería.",Ordinary law,21,2104
15,1,1980,3,"Ley 7/1980, de 10 de marzo, sobre protección de las costas españolas. ",Ordinary law,7,701
16,1,1980,3,"Ley 8/1980, de 10 de marzo, del Estatuto de los Trabajadores. ",Ordinary law,5,505
17,1,1980,3,"Ley 9/1980, de 14 de marzo, sobre excedencia especial de miembros electivos de Corporaciones Locales. ",Ordinary law,20,2001
18,1,1980,3,"Real Decreto-ley 3/1980, de 14 de marzo, sobre creación de suelo y agilización de la gestión urbanística (BOE, núm. 65, de 15 de marzo de 1980). (PDF) (PDF) Convalidación ",Decree law,14,1400
19,1,1980,3,"Real Decreto-ley 4/1980, de 28 de marzo, por el que se dota de personalidad jurídica al Fondo de Garantía de Depósitos y otras medidas complementarias (BOE, núm. 78, de 31 de marzo de 1980). (PDF) (PDF) Convalidación ",Decree law,15,1501
