id,text,initiative,lawnr,datesubmission,mainNL,subNL,year,majortopic,subtopic ,typebill,EUlinkconsiderans,EUinttitle,EUmentionconsiderans,EUref,amendments,motions
1,Rijksbetroting voor het jaar 1981. Begroting van uitgaven (Huis der Koningin),0,16400,,,,1981,,,begroting,,,,,,
2,Wijziging van de inkomstenbelasting en de premieheffing volksverzekeringen met betrekking tot de regeling inzake het al of niet opleggen van een aanslag,0,16404,07/10/1980,1,107,1981,1,107,gewoon wetsvoorstel,0,0,0,,,
3,Algemene regelen in verband met wijziging van de gemeentelijke indeling (Wet algemene regelen gemeentelijke indeling),0,16405,07/10/1980,20,2001,1981,20,2001,gewoon wetsvoorstel,0,0,0,,,
4,Wijziging van de begroting van inkomsten en uitgaven van het Provinciefonds voor het jaar 1980 (wijziging naar aanleiding van de Voorjaarsnota; eerste wijzigingsvoorstel),0,16408,,,,1981,,,begroting,,,,,,
5,Wijziging van hoofdstuk XI (Departement van Volkshuisvesting en Ruimtelijke Ordening) van de begroting van uitgaven van het Rijk voor het jaar 1980 (wijziging naar aanleiding van de Voorjaarsnota; eerste wijzigingsvoorstel),0,16420,,,,1981,,,begroting,,,,,,
6,Wijziging van hoofdstuk IX A (Nationale Schuld) van de begroting van uitgaven van het Rijk voor het jaar 1980 (verzamelontwerp; eerste wijzigingsvoorstel),0,16423,,,,1981,,,begroting,,,,,,
7,Wijziging van hoofdstuk XII (Departement van Verkeer en Waterstaat) van de begroting van uitgaven van het Rijk voor het jaar 1979 (verzamelontwerp; tweede wijzigingsvoorstel),0,16424,,,,1981,,,begroting,,,,,,
8,"Nadere wijziging van de Algemene Ouderdomswet, de Algemene Wet Bijzondere Ziektekosten en de Ziekenfondswet (herziening aanpassingsmechanisme van de maximum premie-inkomensgrens voor de volksverzekeringen, van de loongrens van de verplichte ziekenfondsverzekering en van de Rijksbijdrage aan het Ouderdomsfonds, het Algemeen Fonds Bijzondere Ziektekosten en het Fonds Bejaardenverzekering, alsmede van de bijdrage van het Algemeen Fonds Bijzondere Ziektekosten aan het Praeventiefonds)",0,16426,14/10/1980,3,302,1981,3,302,gewoon wetsvoorstel,0,0,0,,,
9,Wijziging van hoofdstuk X (Departement van Defensie) van de begroting van uitgaven van het Rijk voor het jaar 1980 (wijziging naar aanleiding van de Voorjaarsnota; tweede wijzigingsvoorstel),0,16427,,,,1981,,,begroting,,,,,,
10,Wijziging van hoofdstuk XVII (Departement van Volksgezondheid en Milieuhygiëne) van de begroting van uitgaven van het Rijk voor het jaar 1980 (wijziging naar aanleiding van de Voorjaarsnota; eerste wijzigingsvoorstel),0,16428,,,,1981,,,begroting,,,,,,
11,Wijziging van de Wet Sociale Werkvoorziening,0,16429,15/10/1980,5,599,1981,5,599,gewoon wetsvoorstel,0,0,0,,,
12,Regelen betreffende melding over buitenlandse boycotmaatregelen (Wet melding buitenlandse boycotmaatregelen),0,16432,21/10/1980,18,1807,1981,18,1807,gewoon wetsvoorstel,0,0,0,,,
13,Goedkeuring van de op 30 augustus 1979 te Wittem tot stand gekomen Overeenkomsten tussen het Koninkrijk der Nederlanden en de Bondsrepubliek Duitsland betreffende de aanvulling en het vergemakkelijken van de toepassing van het Europees Verdrag betreffende uitlevering van 13 december 1957 en het Europees Verdrag aangaande de wederzijdse rechtshulp in strafzaken van 20 april 1959,0,16433,16/10/1980,19,1929,1981,19,1929,goedkeuring verdrag,0,2,0,,,
14,Regelen inzake openbare aankondiging van lading in het Noord-Zuid vervoer over binnenwateren,0,16434,16/10/1980,10,1007,1981,10,1007,gewoon wetsvoorstel,0,0,0,,,
15,Voorstel van Wet van het lid Ginjaar-Maas tot het geven van een hechte wettelijke basis aan de MO-opleidingen (Wet op de MO-opleidingen),1,16435,21/10/1980,6,602,1981,6,602,gewoon wetsvoorstel,0,0,0,,,
16,Wijziging van de Wet op de omzetbelasting 1968,0,16440,21/10/1980,1,107,1981,1,107,gewoon wetsvoorstel,1,0,2,,,
17,"Wijziging van de Wet op de Raad van State inzake de aanwijzing van staatsraden in buitengewone dienst voor de vervulling van een vaste deeltaak, alsmede wijziging van de Wet van 11 september 1964, Stb. 387, ter vaststelling van een bezoldiging voor bedoelde staatsraden",0,16441,21/10/1980,20,2005,1981,20,2005,gewoon wetsvoorstel,0,0,0,,,
18,Wijziging van hoofdstuk XV (Departement van Sociale Zaken) van de begroting van uitgaven van het Rijk voor het jaar 1980 (wijziging naar aanleiding van de Voorjaarsnota; eerste wijzigingsvoorstel),0,16442,,,,1981,,,begroting,,,,,,
19,Wijziging van hoofdstuk XIV (Departement van Landbouw en Visserij) van de begroting van uitgaven van het Rijk voor het jaar 1980 (wijziging voornamelijk naar aanleiding van de Voorjaarsnota; eerste wijzigingsvoorstel),0,16446,,,,1981,,,begroting,,,,,,
20,Gezondheidswet voor dieren,0,16447,30/10/1980,4,405,1981,4,405,gewoon wetsvoorstel,0,0,0,,,
21,Wijziging van de begroting van het Staatsmuntbedrijf voor het jaar 1980 (eerste wijzigingsvoorstel),0,16448,,,,1981,,,begroting,,,,,,
22,"Nadere wijziging van de Wet op de Zeevischvaartdiploma's 1935, Stb. 455",0,16449,28/10/1980,10,1007,1981,10,1007,gewoon wetsvoorstel,0,0,0,,,
23,Verlenging van de geldingsduur van de tijdelijke zelfstandigenaftrek voor kleinere zelfstandigen in de inkomstenbelasting,0,16452,30/10/1980,1,107,1981,1,107,gewoon wetsvoorstel,0,0,0,,,
24,Regeling van de fusie van naamloze en besloten vennootschappen,0,16453,04/11/1980,15,1518,1981,15,1500,gewoon wetsvoorstel,1,0,3,,,
25,Voorzieningen inzake het niet houden van een algemene volkstelling in de jaren 1980 en 1981,0,16455,04/11/1980,2,208,1981,2,208,gewoon wetsvoorstel,0,0,0,,,
26,"Wijziging van hoofdstuk XVI (Departement van Cultuur, Recreatie en Maatschappelijk Werk) van de begroting van uitgaven van het Rijk voor het jaar 1979 (verzamelontwerp;tweede wijzigingsvoorstel)",0,16456,,,,1981,,,begroting,,,,,,
27,"Wijziging van de Wet op het wetenschappelijk onderwijs, de Wet universitaire bestuurshervorming 1970, de Wet van 12 november 1975, Stb. 656, en de Wet wederzijdse doorstroming hoger onderwijs (Wet structuur-kader wetenschappelijk onderwijs)",0,16471,NA,6,601,1981,6,601,gewoon wetsvoorstel,0,0,0,,,
28,Wijziging van hoofdstuk VII (Departement van Binnenlandse Zaken) van de begroting van uitgaven van het Rijk voor het jaar 1980 (wijziging naar aanleiding van de Voorjaarsnota; eerste wijzigingsvoorstel),0,16472,,,,1981,,,begroting,,,,,,
29,"Wijziging van de artikelen 1, 3, 9, 11 t/m 13 en 76 van de Luchtvaartwet, laatstelijk gewijzigd bij de wet van 7 juni 1978 (Stb. 1978, 354) (in werking getreden 1 oktober 1978)",0,16473,13/11/1980,10,1003,1981,10,1003,gewoon wetsvoorstel,0,0,0,,,
30,Wijziging van de Wet tot provinciale indeling van de Waddenzee,0,16474,13/11/1980,20,2001,1981,20,2001,gewoon wetsvoorstel,0,0,0,,,
31,"Wijziging van de inkomstenbelasting en van de loonbelasting (tariefverlaging, verlaging van de bejaardenaftrekken en wijziging van de arbeidsongeschiktheidsaftrek), alsmede wijziging van de vermogensbelasting (wijziging van de invaliditeitsaftrek)",0,16475,18/11/1980,1,107,1981,1,107,gewoon wetsvoorstel,0,0,0,,,
32,Een eenmalige voorziening voor de minimuminkomens met het oog op de koopkrachtontwikkeling in 1980,0,16479,18/11/1980,13,1302,1981,13,1302,gewoon wetsvoorstel,0,0,0,,,
33,"Intrekking van de wet van 1 november 1962 (Stb. 483,), betreffende heffing van een bijzondere belasting door de provincie Friesland",0,16480,18/11/1980,1,107,1981,1,107,gewoon wetsvoorstel,0,0,0,,,
34,Herziening van de Wet op de kansspelen (speelautomaten),0,16481,18/11/1980,15,1526,1981,15,1526,gewoon wetsvoorstel,0,0,0,,,
35,Voorstel van wet van het lid Van der Doef houdende regelen met betrekking tot het overleg tussen werkgevers en werknemers over aspecten van werkgelegenheid (Wet regeling werkgelegenheidsoverleg),1,16482,NA,5,500,1981,5,500,gewoon wetsvoorstel,0,0,0,,,
36,Wijziging van de Kieswet en enige andere wetten met betrekking tot het aantal namen op de kandidatenlijsten voor verkiezingen en de wijze van vermelding daarvan,0,16487,02/12/1980,2,206,1981,2,206,gewoon wetsvoorstel,0,0,0,,,
