id,year,majortopic,subtopic 
1,1981,0,0
2,1981,1,107
3,1981,20,2001
4,1981,0,0
5,1981,0,0
6,1981,0,0
7,1981,0,0
8,1981,3,302
9,1981,0,0
10,1981,0,0
11,1981,5,599
12,1981,18,1807
13,1981,19,1929
14,1981,10,1007
15,1981,6,602
16,1981,1,107
17,1981,20,2005
18,1981,0,0
19,1981,0,0
20,1981,4,405
21,1981,0,0
22,1981,10,1007
23,1981,1,107
24,1981,15,1500
25,1981,2,208
26,1981,0,0
27,1981,6,601
28,1981,0,0
29,1981,10,1003
30,1981,20,2001
31,1981,1,107
32,1981,13,1302
33,1981,1,107
34,1981,15,1526
35,1981,5,500
36,1981,2,206
37,1981,20,2004
38,1981,20,2007
39,1981,12,1204
40,1981,15,1599
41,1981,0,0
42,1981,1,107
43,1981,1,107
44,1981,1,107
45,1981,5,503
46,1981,13,1300
47,1981,20,2004
48,1981,0,0
49,1981,5,503
50,1981,0,0
51,1981,12,1208
52,1981,16,1608
53,1981,20,2004
54,1981,15,1599
55,1981,13,1308
56,1981,5,503
57,1981,8,803
58,1981,7,711
59,1981,15,1500
60,1981,14,1499
61,1981,13,1308
62,1981,6,602
63,1981,20,2001
64,1981,1,107
65,1981,0,0
66,1981,5,503
67,1981,3,399
68,1981,15,1500
69,1981,20,2000
70,1981,19,1902
71,1981,12,1299
72,1981,15,1520
73,1981,0,0
74,1981,5,503
75,1981,2,207
76,1981,0,0
77,1981,1,107
78,1981,18,1800
79,1981,12,1208
80,1981,12,1204
81,1981,6,607
82,1981,12,1200
83,1981,16,1610
84,1981,15,1500
85,1981,0,0
86,1981,6,602
87,1981,16,1608
88,1981,20,2001
89,1981,7,705
90,1981,13,1300
91,1981,12,1299
92,1981,13,1308
93,1981,5,501
94,1981,20,2011
95,1981,20,2011
96,1981,0,0
97,1981,10,1005
98,1981,12,1210
99,1981,19,1929
100,1981,14,1499
101,1981,12,1207
102,1981,13,1300
103,1981,10,1002
104,1981,0,0
105,1981,0,0
106,1981,15,1500
107,1981,1,107
108,1981,20,2004
109,1981,0,0
110,1981,5,504
111,1981,19,1929
112,1981,6,604
113,1981,15,1523
114,1981,0,0
115,1981,0,0
116,1981,0,0
117,1981,15,1599
118,1981,15,1504
119,1981,16,1699
120,1981,6,601
121,1981,0,0
122,1981,5,503
123,1981,1,104
124,1981,0,0
125,1981,6,604
126,1981,6,699
127,1981,15,1520
128,1981,3,325
129,1981,0,0
130,1981,0,0
131,1981,16,1619
132,1981,1,107
133,1981,17,1707
134,1981,15,1522
135,1981,15,1522
136,1981,6,601
137,1981,6,602
138,1981,6,601
139,1981,23,2300
140,1981,0,0
141,1981,0,0
142,1981,13,1300
143,1981,19,1929
144,1981,13,1308
145,1981,20,2001
146,1981,6,606
147,1981,0,0
148,1981,0,0
149,1981,20,2004
150,1981,14,1499
151,1981,7,709
152,1981,0,0
153,1981,20,2003
154,1981,1,107
155,1981,5,502
156,1981,6,602
157,1981,7,704
158,1981,20,2004
159,1981,6,601
160,1981,6,601
161,1981,20,2001
162,1981,10,1007
163,1981,8,801
164,1981,6,606
165,1981,12,1201
166,1981,16,1699
167,1981,7,700
168,1981,3,302
169,1981,10,1007
170,1981,7,711
171,1981,10,1006
172,1981,6,602
173,1981,20,2001
174,1981,0,0
175,1981,0,0
176,1981,16,1619
177,1981,15,1502
178,1981,12,1204
179,1981,0,0
180,1981,2,200
181,1981,2,200
182,1981,2,200
183,1981,20,2011
184,1981,20,2011
185,1981,20,2012
186,1981,20,2011
187,1981,20,2000
188,1981,1,107
189,1981,1,104
190,1981,1,104
191,1981,20,2000
192,1981,20,2002
193,1981,20,2004
194,1981,2,208
195,1981,12,1200
196,1981,20,2001
197,1981,2,206
198,1981,21,2104
199,1981,20,2000
200,1981,20,2001
201,1981,20,2000
202,1981,20,2099
203,1981,0,0
204,1981,1,107
205,1981,0,0
206,1981,12,1204
207,1981,12,1204
208,1981,0,0
209,1981,20,2004
210,1981,5,503
211,1981,1,107
212,1981,16,1699
213,1981,10,1002
214,1981,6,602
215,1981,0,0
216,1981,12,1210
217,1981,20,2099
218,1981,0,0
219,1981,10,1002
220,1981,10,1002
221,1981,20,2001
222,1981,20,2001
