Model,Parameters,Source,Provider,Deployed,Multilingual,Source_Availability
Aya (35B-L),35,Open,Cohere,Ollama,Yes,Open*
Aya Expanse (32B-L),32,Open,Cohere,Ollama,Yes,Open
Aya Expanse (8B-L),8,Open,Cohere,Ollama,Yes,Open
Gemma 2 (27B-L),27,Open,Google,Ollama,Yes,Open*
Gemma 2 (9B-L),9,Open,Google,Ollama,Yes,Open*
GPT-3.5 Turbo (0125),20,Closed,OpenAI,OpenAI API,Yes,Closed
GPT-4 (0613),1760,Closed,OpenAI,OpenAI API,Yes,Closed
GPT-4 Turbo (2024-04-09),1760,Closed,OpenAI,OpenAI API,Yes,Closed
GPT-4o (2024-05-13),200,Closed,OpenAI,OpenAI API,Yes,Closed
GPT-4o (2024-08-06),200,Closed,OpenAI,OpenAI API,Yes,Closed
GPT-4o (2024-11-20),200,Closed,OpenAI,OpenAI API,Yes,Closed
GPT-4o mini (2024-07-18),8,Closed,OpenAI,OpenAI API,Yes,Closed
Hermes 3 (70B-L),70,Open,Nous Research,Ollama,Limited,Open
Hermes 3 (8B-L),8,Open,Nous Research,Ollama,Limited,Open
Llama 3.1 (405B),405,Open,Meta,Fireworks API,Yes,Open
Llama 3.1 (70B-L),70,Open,Meta,Ollama,Yes,Open
Llama 3.1 (8B-L),8,Open,Meta,Ollama,Yes,Open
Llama 3.2 (3B-L),3,Open,Meta,Ollama,Yes,Open
Mistral NeMo (12B-L),12,Open,Mistral/NVIDIA,Ollama,Yes,Open
Mistral OpenOrca (7B-L),7,Open,Mistral,Ollama,Yes,Open
Mistral Small (22B-L),22,Open,Mistral,Ollama,Yes,Open
Nous Hermes 2 (11B-L),11,Open,Nous Research,Ollama,Limited,Open
Nous Hermes 2 Mixtral (47B-L),47,Open,Nous Research,Ollama,Limited,Open
o1-mini (2024-09-12),20,Closed,OpenAI,OpenAI API,Yes,Closed
o1-preview (2024-09-12),500,Closed,OpenAI,OpenAI API,Yes,Closed
Orca 2 (7B-L),7,Open,Microsoft,Ollama,Yes,Open
Perspective 0.55,70,BERT,Google,Perspective API,Yes,Closed
Perspective 0.60,70,BERT,Google,Perspective API,Yes,Closed
Perspective 0.70,70,BERT,Google,Perspective API,Yes,Closed
Perspective 0.80,70,BERT,Google,Perspective API,Yes,Closed
Qwen 2.5 (14B-L),14,Open,Alibaba,Ollama,Yes,Open*
Qwen 2.5 (32B-L),32,Open,Alibaba,Ollama,Yes,Open*
Qwen 2.5 (72B-L),72,Open,Alibaba,Ollama,Yes,Open*
Qwen 2.5 (7B-L),7,Open,Alibaba,Ollama,Yes,Open*
Solar Pro (22B-L),22,Open,Upstage,Ollama,Yes,Open*
Llama 3.3 (70B-L),70,Open,Meta,Ollama,Yes,Open
Sailor2 (20B-L),20,Open,Sailor2,Ollama,Yes,Open*
QwQ (32B-L),32,Open,Alibaba,Ollama,Yes,Open*
Tülu3 (8B-L),8,Open,AllenAI,Ollama,unk,Open*
Tülu3 (70B-L),70,Open,AllenAI,Ollama,unk,Open*
Marco-o1-CoT (7B-L),7,Open,Alibaba,Ollama,unk,Open*
Athene-V2 (72B-L),72,Open,Nexusflow,Ollama,unk,Open*
Grok Beta,300,Closed,xAI,xAI API,Yes,Closed
Claude 3.5 Haiku (20241022),200,Closed,Anthropic,Anthropic API,Yes,Closed
Gemini 1.5 Flash,800,Closed,Google,Gemini API,Yes,Closed
