file_name,model_name,cycle
aya_35b.csv,Aya (35B-L),1
aya-expanse.csv,Aya Expanse (8B-L),1
aya-expanse_32b.csv,Aya Expanse (32B-L),1
gemma2.csv,Gemma 2 (9B-L),1
gemma2_27b.csv,Gemma 2 (27B-L),1
gpt-4o-2024-11-20.csv,GPT-4o (2024-11-20),1
hermes3.csv,Hermes 3 (8B-L),1
hermes3_70b.csv,Hermes 3 (70B-L),1
llama3.1.csv,Llama 3.1 (8B-L),1
llama3.1_70b.csv,Llama 3.1 (70B-L),1
llama3.2.csv,Llama 3.2 (3B-L),1
mistral-nemo.csv,Mistral NeMo (12B-L),1
mistral-small.csv,Mistral Small (22B-L),1
nous-hermes2.csv,Nous Hermes 2 (11B-L),1
nous-hermes2-mixtral.csv,Nous Hermes 2 Mixtral (47B-L),1
orca2.csv,Orca 2 (7B-L),1
perspective55.csv,Perspective 0.55,1
perspective60.csv,Perspective 0.60,1
perspective70.csv,Perspective 0.70,1
perspective80.csv,Perspective 0.80,1
qwen2.5.csv,Qwen 2.5 (7B-L),1
qwen2.5_14b.csv,Qwen 2.5 (14B-L),1
qwen2.5_32b.csv,Qwen 2.5 (32B-L),1
qwen2.5_72b.csv,Qwen 2.5 (72B-L),1
gpt-4o-mini-2024-07-18.csv,GPT-4o mini (2024-07-18),2
gpt-4-turbo-2024-04-09.csv,GPT-4 Turbo (2024-04-09),2
gpt-4-0613.csv,GPT-4 (0613),2
gpt-3.5-turbo-0125.csv,GPT-3.5 Turbo (0125),2
solar-pro.csv,Solar Pro (22B-L),2
llama3.1_405b.csv,Llama 3.1 (405B),3
gpt-4o-2024-05-13.csv,GPT-4o (2024-05-13),3
gpt-4o-2024-08-06.csv,GPT-4o (2024-08-06),3
mistral-openorca.csv,Mistral OpenOrca (7B-L),3
llama3.3.csv,Llama 3.3 (70B-L),4
sailor2_20b.csv,Sailor2 (20B-L),4
qwq.csv,QwQ (32B-L),4
tulu3.csv,Tülu3 (8B-L),4
tulu3_70b.csv,Tülu3 (70B-L),4
marco-o1.csv,Marco-o1-CoT (7B-L),4
athene-v2.csv,Athene-V2 (72B-L),4
grok-beta.csv,Grok Beta,4
claude-3-5-haiku-20241022.csv,Claude 3.5 Haiku (20241022),4
gemini-1.5-flash.csv,Gemini 1.5 Flash,4
gemini-1.5-flash-8b.csv,Gemini 1.5 Flash (8B),4
gemini-1.5-pro.csv,Gemini 1.5 Pro,4
ministral-8b-2410.csv,Ministral-8B (2410),4
pixtral-12b-2409.csv,Pixtral-12B (2409),4
mistral-large-2411.csv,Mistral Large (2411),4
gemini-2.0-flash-exp.csv,Gemini 2.0 Flash Exp.,5
exaone3.5.csv,Exaone 3.5 (8B-L),5
exaone3.5_32b.csv,Exaone 3.5 (32B-L),5
glm4.csv,GLM-4 (9B-L),5
mistral.csv,Mistral (7B-L),5
notus.csv,Notus (7B-L),5
nemotron-mini.csv,Nemotron-Mini (4B-L),5
granite3-moe_3b.csv,Granite 3 MoE (3B-L),5
yi.csv,Yi 1.5 (6B-L),5
yi_9b.csv,Yi 1.5 (9B-L),5
yi_34b.csv,Yi 1.5 (34B-L),5
nemotron.csv,Nemotron (70B-L),5
claude-3-5-sonnet-20241022.csv,Claude 3.5 Sonnet (20241022),5
pixtral-large-2411.csv,Pixtral Large (2411),5
open-codestral-mamba.csv,Codestral Mamba (7B),5
open-mixtral-8x22b.csv,Open Mixtral 8x22B,5
yi-large.csv,Yi Large,5
grok-2-1212.csv,Grok 2 (1212),5
deepseek-chat.csv,DeepSeek-V3 (671B),6
falcon3_10b.csv,Falcon3 (10B-L),6
phi3_14b.csv,Phi-3 Medium (14B-L),6
granite3.1-dense.csv,Granite 3.1 (8B-L),6
granite3.1-moe.csv,Granite 3.1 MoE (3B-L),6
deepseek-reasoner.csv,DeepSeek-R1 (671B),7
gemini-2.0-flash.csv,Gemini 2.0 Flash,8
gemini-2.0-flash-lite-preview-02-05.csv,Gemini 2.0 Flash-Lite (02-05),8
o3-mini-2025-01-31.csv,o3-mini (2025-01-31),8
o1-2024-12-17.csv,o1 (2024-12-17),8
dolphin3.csv,Dolphin 3.0 (8B-L),8
phi4.csv,Phi-4 (14B-L),8
olmo2.csv,OLMo 2 (7B-L),8
olmo2_13b.csv,OLMo 2 (13B-L),8
deepseek-r1.csv,DeepSeek-R1 D-Qwen (7B-L),8
deepseek-r1_1.5b.csv,DeepSeek-R1 D-Qwen (1.5B-L),8
deepseek-r1_8b.csv,DeepSeek-R1 D-Llama (8B-L),8
deepseek-r1_14b.csv,DeepSeek-R1 D-Qwen (14B-L),8
openthinker.csv,OpenThinker (7B),8
openthinker_32b.csv,OpenThinker (32B),8
