text,annotation
Lov om ændring af ligningsloven,13
Forslag til lov om ændring af forskellige skatte- og afgiftslove. (Konsekvensændringer som følge af opkrævningsloven.),15
Forslag til lov om forbud mod installering af direkte elvarme.,15
"Forslag til lov om ændring af lov om friskoler og private grundskoler m.v. og forskellige andre love. (Forenklinger vedrørende bygningsmæssig sammenhæng, administrative fællesskaber m.v.).",14
Lov om ændring af lov om priser og avancer,15
Forslag til lov om ændring af lov om kommuners og amtskommuners deltagelse i erhvervsudviklingsaktiviteter,15
Forslag til lov om ændring af lov om social service. (Mulighed for øget forældrebetaling i kommuner med en pasningsgaranti).,13
"Forslag til lov om ændring af lov om dagpenge ved sygdom eller fødsel. (Ændring af refusionsregler, smidigere regler om 8-ugers opfølgning samt en forsøgsbestemmelse).",13
Forslag til lov om ændring af regionsloven. (Indførelse af dispensationsadgang til regioners nedsættelse af stående udvalg).,20
Forslag til lov om indfødsrets meddelelse,9
Lov om forhøjelse af stempelafgift,15
Lov om tillægsbevilling for finansåret 1. april 1976 - 31. marts 1977,20
forslag til lov om ændring af forskellige skattelove (realkreditinstitutters omdannelse til aktieselskaber  og fusioner af fonde m.v.),15
"Om ændring af lov om sikkerhed til søs, lov om skibes besætning, lov om dykkerarbejde og dykkermateriel m.v. og forskellige andre love samt ophævelse af lov om måling af skibe",17
forslag til lov om ændring af lov om erhvervsuddannelser,15
"Forslag til lov om ændring af udlændingeloven og retsafgiftsloven. (Behandling af sager om administrativ udvisning af udlændinge, der må anses for en fare for statens sikkerhed m.v.). (OMTRYKT)         ",9
Lov om optagelse af statslån i udlandet,19
Forslag til lov om statsrepræsentation i pengeinstitutternes ledende organer,19
Lov om boligydelse til pensionister,14
Forslag til lov om ændring i lov om arbejdsanvisning og arbejdsløshedsforsikring.,5
lov om ændringer i lov om forskellige forbrugsafgifter.,15
Forslag til lov om ændring af sundhedsloven og lov om klage- og erstatningsadgang inden for sundhedsvæsenet. (Ret til hurtig udredning i sygehusvæsenet og differentieret ret til udvidet frit sygehusvalg m.v.).,6
"Lov om ændring i lov om offentlig forsorg. ( Vedrørende betaling i henhold til kapitel IV, betaling for særforsorg m.v.)",13
"Forslag til lov om ændring af vurderingsloven, skattestyrelsesloven og andre skattelove. (Forenkling og modernisering af vurderingsorganisationen og vurderingsprocessen m.v.).",15
Lov om forsvarets personel,16
