text,annotation
"Harbours Act 1964 c. 40. An Act to establish a National Ports Council; to provide for the control of harbour development and for giving financial assistance for the improvement of harbours; to make other provision respecting the construction, improvement, maintenance and management of harbours; to make provision with respect to charges of certain harbour authorities and lighthouse authorities; and for purposes connected with the matters aforesaid",10
Roads (Scotland) Act 1984 c. 54. An Act to make provision as regards roads in Scotland; and for connected purposes.,10
"Retail Meat Dealers' Shops (Sunday Closing) Act, 1936 c. 30. An Act to provide, with certain exceptions, for the compulsory closing of retail meat traders' shops and stalls on Sundays",15
"European Communities Act 1972 c. 68. An Act to make provision in connection with the enlargement of the European Communities to include the United Kingdom, together with (for certain purposes) the Channel Islands, the Isle of Man and Gibraltar",19
"Insolvency (No. 2) Act 1994 (c.12). An Act to amend the law relating to company insolvency and winding up, and the insolvency and bankruptcy of individuals, so far as it concerns the adjustment of certain transactions; and for connected purposes.",15
"Statutory Gas Companies (Electricity Supply Powers) Act, 1925 c. 44. An Act to facilitate the supply of electricity by statutory gas companies",8
"Chimney Sweepers Acts (Repeal) Act, 1938 c. 58. An Act to repeal the Chimney Sweepers and Chimneys Regulation Acts, 1840 and 1864, the Chimney Sweepers Act, 1875, and the Chimney Sweepers Act, 1894",12
"Sea Fish Industry Act 1959 c. 7. An Act to increase the aggregate amounts of grants made in pursuance of schemes under sections one and five of the White Fish and Herring Industries Act, 1953, and section three of the White Fish and Herring Industries Act, 1957, and otherwise to amend the provisions as to schemes under those Acts; to authorise measures for the increase or improvement of marine resources; to make further provision for regulating the catching of sea-fish and for licensing fishing-boats; and for purposes connected with those matters.",4
AIDS (Control) Act 1987 c. 33. An Act to make provision in relation to Acquired Immune Deficiency Syndrome and Human Immunodeficiency Virus.,3
"Foreign Limitation Periods Act 1984 c. 16. An Act to provide for any law relating to the limitation of actions to be treated, for the purposes of cases in which effect is given to foreign law or to determinations by foreign courts, as a matter of substance rather than as a matter of procedure",12
Commonwealth Secretariat Act 1966 c. 10. An Act to make provision with respect to the Commonwealth Secretariat; and for connected purposes,19
"Royal Marines Act, 1946 c. 4. An Act to extend the time limited for service in the Royal Marine Forces",16
Register of Sasines (Scotland) Act 1987 c. 23. An Act to make provision as to the methods of keeping the Register of Sasines.,20
"Nationality, Immigration and Asylum Act 2002 c. 41. An Act to make provision about nationality, immigration and asylum; to create offences in connection with international traffic in prostitution; to make provision about international projects connected with migration; and for connected purposes.",9
Northern Ireland Assembly Disqualification Act 1975 c. 25. An Act to consolidate certain enactments relating to disqualification for membership of the Northern Ireland Assembly,20
"Finance (No. 3) Act 2010. An Act to grant certain duties, to alter other duties, and to amend the law relating to the National Debt and the Public Revenue, and to make further provision in connection with finance.",1
"Cinematograph Film Production (Special Loans) Act, 1952 c. 20. An Act to empower the National Film Finance Corporation to borrow otherwise than from the Board of Trade",17
"Colonial Development and Welfare Act, 1949. c. 49. An Act to increase the amounts payable in any financial year out of moneys provided by Parliament for the purposes of schemes under section one of the Colonial Development and Welfare Act, 1940",19
