text,annotation
"Ley 47/2003, de 26 de noviembre, General Presupuestaria.",20
"Ley 26/1984, de 19 de julio, General para la Defensa de los consumidores y usuarios. ",16
"Ley 34/2003, de 4 de noviembre, de modificación y adaptación a la normativa comunitaria de la legislación de seguros privados.",8
"Ley 13/1985, de 25 de mayo, de coeficientes de inversión, recursos propios y obligaciones de información de los intermediarios financieros. CORRECCION DE ERRORES: BOE 135, 85/06/06. ",8
"Ley Orgánica 13/1995, de 18 de diciembre, sobre modificación de la Ley Orgánica General Penitenciaria. ",12
"Real Decreto-Ley 9/2009, de 26 de junio, sobre reestructuración bancaria y reforzamiento de los recursos propios de las entidades de crédito. ",8
"Ley 6/1986, de 15 de enero, sobre concesión de un crédito extraordinario por un importe de 5.180.200.000 pesetas para atender los déficit de sociedades concesionarias de autopistas de peaje. ",4
"Real Decreto-ley 13/1996, de 20 de septiembre, por el que se adoptan medidas urgentes para reparar los daños causados por la reciente inundación en el término municipal de Biescas, en la provincia de Huesca (BOE, núm. 235, de 28 de septiembre de 1996). (PDF) ",8
"Ley 17/2009, de 23 de noviembre, sobre el libre acceso a las actividades de servicios y su ejercicio.",8
"Ley Orgánica 11/1982, de 10 de agosto, de Transferencias Complementarias a Canarias. ",19
"Ley 17/2010, de 16 de julio, del régimen de cesión de tributos del Estado a la Comunidad Autónoma de Galicia y de fijación del alcance y condiciones de dicha cesión.",8
"Real Decreto-ley 2/1998, de 17 de abril, por el que se adoptan medidas urgentes para reparar los daños causados por las inundaciones y temporales acaecidos entre noviembre de 1997 y febrero de 1998. (BOE, núm. 93, de 18 de abril de 1998). (PDF) (PDF) Convalidación ",13
"Ley 7/1982, de 31 de marzo, por la que se declara a extinguir el Cuerpo de Máquinas de la Armada y se transfieren sus misiones al Cuerpo General de la Armada.",16
"Ley Orgánica 13/2007, de 19 de noviembre, para la persecución extraterritorial del tráfico ilegal o la inmigración clandestina de personas.",9
"Ley Orgánica 1/2005, de 20 de mayo, por la que se autoriza la ratificación por España del Tratado por el que se establece una Constitución para Europa, firmado en Roma el 29 de octubre de 2004",19
"Ley 28/1994, de 18 de octubre, por la que se completa el régimen del personal del Cuerpo de la Guardia Civil. ",8
Ley por la que se modifica el texto refundido de la Ley General de la Seguridad Social en relación con el régimen jurídico de las Mutuas de Accidentes de Trabajo y Enfermedades Profesioles de la Seguridad Social.,5
"Real Decreto-Ley 2/2010, de 19 de marzo, sobre reducción del número mínimo de jornadas reales cotizadas para acceder al subsidio por desempleo o a la renta agraria a favor de los trabajadores eventuales agrarios afectados por las inundaciones acaecidas en las Comunidades Autónomas de Andalucía y Extremadura. ",8
Ley de seguridad privada.,9
"Real Decreto-ley 9/1996, de 7 de junio, de asimilación de jornadas a los efectos del subsidio por desempleo de los trabajadores eventuales incluidos en el Régimen Especial Agrario de la Seguridad Social (BOE, núm. 141, de 11 de junio de 1996). (PDF) ",4
"Ley 4/2004, de 29 de diciembre, de modificación de tasas y de beneficios fiscales de acontecimientos de excepcional interés público.",15
"LEY 34/1988, DE 11 DE NOVIEMBRE, GENERAL DE PUBLICIDAD. ",7
"Ley 11/2000, de 28 de diciembre, por la que se autoriza la participación del Reino de España en la 12ª reposición de recursos de la Asociación Internacional de Fomento.",19
"Ley 4/2007, de 3 de abril, de transparencia de las relaciones financieras entre las Administraciones públicas y las empresas públicas, y de transparencia financiera de determinadas empresas.",8
"LEY 8/1988, DE 7 DE ABRIL, SOBRE INFRACCIONES Y SANCIONES DE ORDEN SOCIAL. ",23
