text,annotation
Loi relative aux droits des malades et à la fin de vie. Les actes médicaux ne doivent pas être poursuivis par une obstination déraisonnable et obligation de dispenser des soins palliatifs. Autorisation d’administration de traitements anti-douleurs efficaces au malade en fin de vie même si cela entraîne une mort plus rapide. Procédure d’interruption ou de refus de traitement. Collégialité de la décision de l’arrêt de traitement du malade inconscient. Respect par le médecin de la volonté du malade en fin de vie. Utilisation des soins palliatifs pour sauvegarder la dignité de la personne mourante. Précision du statut de la personne de confiance. Directives anticipées relatives à la fin de vie. Procédure d’arrêt ou de limitation de traitement du malade en fin de vie. Développement et organisation des soins palliatifs. Favoriser la pratique des soins palliatifs dans les établissements ou les services sociaux ou médico-sociaux.,3
Loi modifiant le livre V du code de la santé publique et relatif à la pharmacie et au médicament. ,3
"Loi relative à l'élection des représentants au Parlement européen. Ce projet de loi a pour objet de fixer les modalités de l'élection de deux députés européens français supplémentaires, conformément au protocole sur les dispositions transitoires annexé au traité de Lisbonne et adopté le 23 juin 2010. Il rétablit d'autre part le droit de participation des Français établis à l'étranger aux élections européennes par un vote dans les centres de vote consulaires, supprimé par la loi du 11 avril 2003",20
Loi relative à la définition et à la mise en oeuvre de principes d'aménagement. ,21
Loi tendant à garantir la parité de financement entre les écoles élémentaires publiques et privées sous contrat d'association lorsqu'elles accueillent des élèves scolarisés hors de leur commune de résidence. La présente proposition de loi a dès lors pour objet de mettre fin à cet état d'insécurité juridique en clarifiant les règles applicables au financement des écoles primaires privées sous contrat d'association lorsqu'elles accueillent des élèves domiciliés dans une autre commune et en consacrant l'exigence de parité qui a permis d'apaiser dans notre République la question scolaire.,6
"Loi autorisant la ratification de la Convention internationale n° 139 concernant la prévention et le contrôle des risques professionnels causés par les substances et agents cancérogènes, adoptée à Genève le 24 juin 1974 . ",5
"Loi autorisant l'approbation de la convention internationale du travail n° 148 concernant la protection des travailleurs contre les risques professionnels dus a la pollution de l'air, au bruit et aux vibrations sur les lieux de travail. ",5
Loi tendant à abroger l'alinéa 2 de l'article 331 du code pénal. ,12
"Loi pour la confiance et la modernisation de l'économie. Le projet de loi tend à lever un certain nombre de blocages en matière de financement de l'économie, en modernisant les règles de fonctionnement des entreprises, en facilitant leur accès aux financements bancaires et aux marchés financiers et en renforçant la confiance des investisseurs et des ménages, notamment grâce à une plus grande diffusion des mécanismes d'intéressement des salariés aux résultats de l'entreprise. ",15
Loi relative a l'etat d'urgence en Nouvelle-Caledonie et dependances. ,19
"Loi relative au contrôle de la fabrication et du commerce de certaines substances susceptibles d'être utilisées pour la fabrication illicite de stupéfiants ou de substances psychotropes. La fabrication, la transformation, le transport, le stockage, le courtage et la mise à disposition de tiers à titre onéreux ou gratuit de substances susceptibles d'être utilisées pour la fabrication illicite de stupéfiants ou de substances psychotropes sont soumis aux dispositions de la présente loi. La liste de ces substances, regroupées en trois catégories selon la nature et la gravité du risque qu'elles présentent en vue de la production de stupéfiants et de substances psychotropes, est fixée par décret. Les substances ne peuvent être fabriquées, transformées et mises à disposition de tiers, à titre onéreux ou gratuit, que par des personnes agréées ; elles ne peuvent être échangées qu'entre personnes agréées. Les conditions de délivrance et de retrait de cet agrément sont fixées par décret en Conseil d'Etat.",12
Loi autorisant l'approbation d'une convention des Nations Unies relative a un code de conduite des conferences maritimes. ,19
"Loi autorisant la ratification de l'acte constitutif de l'Organisation des Nations unies pour l'alimentation et l'agriculture (ensemble une annexe). La présente loi autorise la ratification de l'acte constitutif de l'Organisation des Nations unies pour l'alimentation et l'agriculture (ensemble une annexe), signé le 16 octobre 1945 à Québec",19
"Loi d'orientation autorisant le Gouvernement, par application de l'article 38 de la Constitution, à prendre des mesures d'ordre social. Pour l'exécution de son programme d'amélioration de la situation de l'emploi et des conditions de vie des travailleurs, le Gouvernement est autorisé à prendre par ordonnances, jusqu'au 31 mars 1982, dans les conditions prévues à l'article 38 de la Constitution, toutes mesures qui sont normalement du domaine de la loi et qui répondent aux orientations suivantes :",5
Loi d'orientation quinquennale relative à la maîtrise des finances publiques. ,1
"Loi autorisant l'approbation de l'accord relatif aux services aériens entre le Gouvernement de la République française et le Gouvernement de la région administrative spéciale de Macao de la République populaire de Chine. Si la France dispose d'accords aériens avec la Chine (signé le 1er janvier 1966 et qui permet notamment l'exploitation de lignes aériennes entre Paris et Pékin, Shanghai et Canton) et Hong Kong (signé le 20 août 1990), elle n'en dispose pas avec la région administrative spéciale de Macao de la République populaire de Chine. Le nouveau statut de la région administrative spéciale de Macao, son développement économique et la construction d'un nouvel aéroport international a contribué à ce que les deux Parties négocient puis signent un accord le 23 mai 2006, bien qu'à ce jour, aucun service aérien international régulier ne soit exploité entre la France et Macao.",19
Loi autorisant l'approbation de l'accord entre le Gouvernement de la République française et le Conseil fédéral suisse relatif au raccordement de l'autoroute A 35 à la route nationale N 2 entre Bâle et Saint-Louis. ,10
"Loi portant ratification de l'ordonnance n°96-782 du 5 septembre 1996 prise en application de la loi n° 96-87 du 5 février 1996 d'habilitation relative au statut général des fonctionnaires de la collectivité territoriale, des communes et des établissements publics de Mayotte. ",20
Loi relative à l'adoption internationale. Création d'un conseil supérieur de l'adoption. Application du droit français pour les adoptants à l'étranger,12
"Loi relative à la ccopération internationale des collectivités territoriales et des agences de l'eau dans les domaines de l'alimentation en eau et de l'assainissement. Les communes, les établissements publics de coopération intercommunale et les syndicats mixtes chargés des services publics de distribution d'eau potable et d'assainissement peuvent, dans la limite de 1 % des ressources qui sont affectées aux budgets de ces services, mener des actions de coopération avec les collectivités territoriales étrangères et leurs groupements, dans le cadre des conventions prévues à l'article L. 1115-1, des actions d'aide d'urgence au bénéfice de ces collectivités et groupements, ainsi que des actions de solidarité internationale dans les domaines de l'eau et de l'assainissement. Dans le respect des engagements internationaux de la France et dans le cadre de conventions soumises à l'avis du comité de bassin, l'agence peut mener des actions de coopération internationale dans les domaines de l'eau et de l'assainissement, dans la limite de 1 % de ses ressources, le cas échéant et suivant les règles statutaires en vigueur pour chaque catégorie de personnels, avec le concours de ses agents. ",19
"Loi sur l'air et l'utilisation rationnelle de l'énergie. Politique de lutte contre la pollution atmosphérique : définition de la pollution atmosphérique, surveillance, information.  Plan de dépladements urbain. Urbanisme et environnement? Réduction de la consommation d'énergie. Incitations fiscales. Contrôle et sanctions.",7
Loi relative à l'organisation départementale du tourisme. ,20
"Loi relative à la prorogation du mécanisme de l'éco-participation répercutée à l'identique et affichée pour les équipements électriques et électroniques mégagers. La présente proposition de loi a été déposée au Sénat par Gérard Miquel (Soc., Lot) et plusieurs de ses collègues le 22 janvier 2013.  Elle a pour objet la prorogation du mécanisme de la répercussion à l'identique de l'éco-participation pour les équipements électriques et électroniques ménagers jusqu'au 1er janvier 2020. L'article L. 541-10-2 du code de l'environnement instaurait ce mécanisme pour une période transitoire, s'achevant le 13 février 2013.  Le texte corrige également une erreur matérielle au quatrième alinéa de ce même article.",7
Loi relative au développement des institutions représentatives du personnel. ,5
Loi organique portant recrutement exceptionnel de magistrats de l'ordre judiciaire et modifiant les conditions de recrutement des conseillers de cour d'appel en service extraordinaire. Recrutement à titre exceptionnel de magistrats sur concours,12
Loi relative à l'archéologie préventive. Dispositions relatives aux prescriptions de l'Etat concernant les diagnostics et les opérations de fouilles d'archéologie. Protection des vestiges archéologiques.,23
