text,annotation
A nemzetgazdasági szempontból kiemelt jelentőségű közlekedési infrastruktúra beruházások megvalósításának gyorsításával összefüggésben egyes törvények módosításáról,10
A családok támogatásáról szóló 1998. évi LXXXIV. törvény módosításáról,13
"A Tisza-völgy árvízi biztonságának növelését, valamint az érintett térség terület- és vidékfejlesztését szolgáló program (Vásárhelyi-terv továbbfejlesztése) közérdekűségéről és megvalósításáról szóló 2004. évi LXVII. törvény módosításáról",7
"A Magyar Köztársaság és a Moldvai Köztársaság között a kettős adóztatás elkerülésére és az adóztatás kijátszásának megakadályozására a jövedelem-és a vagyonadók területén Budapesten, 1995.április 19-én aláírt Egyezmény kihirdetéséről",18
A hulladékról szóló 2012. évi CLXXXV. törvénynek a lomok újrahasznosítását elősegítő módosításáról,4
Az információs önrendelkezési jogról és az információszabadságról,7
Az üzemanyagok környezetvédelmi termékdíjáról szóló 1992. évi XVIII. törvény módosításáról.,7
A családtámogatási rendszer átalakításáról,23
A Polgári Törvénykönyvről szóló 1959.évi IV. törvény módosításáról,8
Az árak megállapításáról,15
A biztonságos konténerekről szóló 1972. évi nemzetközi egyezmény kihirdetéséről,8
Az adózás rendjéről szóló 1990. évi XCI. törvény módosításáról,5
A 2010. évi általános mezőgazdasági összeírásról,4
"A közfoglalkoztatásról és a közfoglalkoztatáshoz kapcsolódó, valamint egyéb törvények módosításáról szóló 2011. évi CVI. törvénynek a közfoglalkoztatási bér értékének megőrzéséhez szükséges módosításáról",5
"A szociális igazgatásról és szociális ellátásokról szóló, 1993. évi III. törvény módosításáról",13
A természetes személyek adósságrendezési eljárásáról,2
"Az autópályák, autóutak és főutak használatáért fizetendő, megtett úttal arányos díjról",15
A személyi jövedelemadóról szóló 1995. évi CXVII. törvény módosításáról,15
A Büntető Törvénykönyvről szóló 2012. évi C. törvény módosításáról,8
A Magyar Közársaság Kormánya és az Amerikai Egyesült Áll. Kormánya között a kiadatásról szóló Budapesten az 1994.évi december 1.napján aláírt szerződés kihirdetéséről,8
A Közép- és Kelet-európai Történelem és Társadalom Kutatásáért Alapítványról,8
A Magyar Művészeti Akadémia működésével kapcsolatos egyes kérdésekről,23
A Magyar Köztársaság 1999.évi költségvetéséről szóló 1998.évi XC. törvény módosításáról,20
Az Összefogás a Fűtött Otthonokért Alapról,7
