text,annotation
Tijdelijke voorschriften omtrent de grondslag voor de toekenning van vergoedingen door het Rijk en de gemeenten in het kader van investeringsimpuls betreffende onderwijsgebouwen in het voortgezetonderwijs en het beroepsbegeleidend onderwijs (Tijdelijke wet medefinanciering onderwijsgebouwen v.o./b.b.o.),6
Goedkeuring van de ministeriële regelingen van 29 december 1986 (Stcrt. 251) tot wijziging van de Aanwijzingsbeschikking milieutoeslag WIR en van de Aanwijzingsbeschikking energietoeslag WIR,7
Invoeging van een nieuw artikel 3b van de Ziekenfondswet,3
"Goedkeuring van de Verdragen inzake sociale zekerheid met Canada en de Verenigde Staten van Amerika van 1987, als gewijzigd in 1989",13
Voorstel van wet van het lid Kant tot wijziging van de Wet maatschappelijke ondersteuning ter bevordering van de kwaliteit van de huishoudelijke verzorging en ter invoering van basistarieven voor de huishoudelijke verzorging,13
Wijziging van de Luchtvaartongevallenwet (technische verbeteringen),10
Wijziging van de Winkeltijdenwet met het oog op inkadering van de bevoegdheid om vrijstelling te verlenen of een ontheffingsbevoegdheid toe te kennen in verband met de toeristische aantrekkingskracht van een gemeente,15
Wijziging van de Wet uitkeringen vervolgingsslachtoffers 1940-1945 en de Wet uitkeringen burger-oorlogsslachtoffers 1940-1945 in verband met de invoering gelijke behandeling van mannen en vrouwen in de Algemene Ouderdomswet,13
"Aanpassing van Boek 3 en Boek 6 van het Burgerlijk Wetboek, de Telecommunicatiewet en de Wet op de economische delicten inzake elektronische handtekeningen ter uitvoering van richtlijn nr. 1999/93/EG van de Europese Unie van 13 december 1999 betreffende een gemeenschappelijk kader voor elektronische handtekeningen (PbEG L 13) (Wet elektronische handtekeningen)",17
Wijziging van de Wet milieubeheer (luchtkwaliteitseisen),7
"Wijziging van de wet van 30 oktober 1968, houdende regeling schadeloosstelling leden Tweede Kamer der Staten-Generaal",20
Wijziging van de Wet op de toegang tot Ziektekostenverzekeringen,3
"Goedkeuring van het op 13 december 2007 te Lissabon totstandgekomen Verdrag van Lissabon tot wijziging van het Verdrag betreffende de Europese Unie en het Verdrag tot oprichting van de Europese Gemeenschap, met Protocollen en Bijlagen (Trb. 2008, 11)",19
"Wijziging van de Kernenergiewet, de Uitleveringswet en het Wetboek van Strafvordering ter uitvoering van de op 8 juli 2005 te Wenen tot stand gekomen Wijziging van het Verdrag inzake de fysieke beveiliging van kernmateriaal (Trb. 2006, 81)",19
"Voorstel van wet van de leden Crone en Van Dam houdende wijziging van Boek 2 en Boek 6 van het Burgerlijk Wetboek (stilzwijgende verlenging en opzegtermijn bij lidmaatschappen, abonnementen en overige overeenkomsten)",12
Wijziging van de artikelen 650 en 651 van Boek 7 van het Burgerlijk Wetboek (arbeidstuchtrecht),5
Voorstel van wet van het lid Van Gent tot wijziging van de Huursubsidiewet (huursubsidie voor jongeren en studenten),14
Het van rechtswege verlenen van erkenningen voor landelijke publieke omroep en verkorting van de duur van erkenningen en voorlopige erkenningen voor landelijke publieke omroep (Tijdelijke wet verkorting erkenningenduur publieke omroepen),23
Enige regels ter uitvoering van een aantal EG-verordeningen op het gebied van de mededinging (Wet uitvoering EG-mededingsverordeningen),15
"Wijziging van de Wet op de omroepbijdragen (Stb. 1968, 687)",17
Inwerkingtreding van en aanpassing van wetgeving aan de Douanewet (Invoeringswet Douanewet),18
Wijziging van Boek 1 van het Burgerlijk Wetboek en van de Wet Landelijk Bureau Inning Onderhoudsbijdragen in verband met de inning van partneralimentatie,12
Regels betreffende de financiering van de sociale verzekeringen (Wet financiering sociale verzekeringen),13
Verhoging van de accijns van sigaretten en kerftabak,1
Voorstel van wet van het lid jhr. R.A. Meyer tot wijziging van de Wet op de adeldom om enige onrechtvaardigheden in het overheidsbeleid ten aanzien van adellijke ouders en hun kinderen weg te nemen,2
"Aanpassing van de Rijkswet op het Nederlanderschap en de Rijkswet van 21 december 2000 tot wijziging van de Rijkswet op het Nederlanderschap met betrekking tot de verkrijging, de verlening en het verlies van het Nederlanderschap (Stb. 618), mede in verband met de totstandkoming van de Wet conflictenrecht geregistreerd partnerschap",9
"Wijziging van de Wet op de inkomstenbelasting 1964, de Wet op de loonbelasting 1964 en de Coördinatiewet Sociale Verzekering (regelingen met betrekking tot aftrek en belastingvrije vergoeding van kosten van kinderopvang)",1
"Nadere wijziging van een aantal sociale verzekeringswetten, de Wet Werkloosheidsvoorziening en de Wet op de loonbelasting 1964 (afschaffing minimumdagloon W.A.O. en herziening minimumdagloonbepalingen in de W.W. en de W.W.V.)",5
Wijziging van de Wet op het hoger onderwijs en wetenschappelijk onderzoek in verband met decentralisatie van regelgeving op arbeidsvoorwaardelijk terrein,5
Wijziging van de Beroepswet,6
"Regels met betrekking tot de productie, de keuring en de exploitatie van kabelbaaninstallaties voor personenvervoer (Wet kabelbaaninstallaties)",10
Wijziging van de Comptabiliteitswet houdende uitbreiding van de onderzoeksbevoegdheden van de Algemene Rekenkamer ten aanzien van de besteding van gelden die ten laste komen van de begroting van de Europese Unie (achtste wijziging van de Comptabiliteitswet),20
Wijziging van de Wet minimumloon en minimumvakantiebijslag in verband met de mogelijkheid van tijdelijke afwijking,5
Regelen ten aanzien van de beleidsvorming en de uitvoering en bekostiging van voorzieningen op het terrein van het maatschappelijke en sociaal-culturele welzijn (Welzijnswet),13
Wijziging van de Gemeentewet en de Provinciewet in verband met een aanpassing van de procedure tot benoeming van de burgemeester en de commissaris van de Koning,20
Wijziging van de Wet op het financieel toezicht ter implementatie van richtlijn markten voor financiële instrumenten (Wet implementatie richtlijn markten voor financiële instrumenten),15
Wijziging van de Wet educatie en beroepsonderwijs inzake inhouding en terugbetaling cursusgeld,6
Aanpassing van de wetgeving aan en invoering van de wet tot vaststelling van titel 7.17 (verzekering) en titel 7.18 (lijfrente) van het nieuwe Burgerlijk Wetboek (Invoeringswet titel 7.17 en titel 7.18 Burgerlijk Wetboek),12
"Wijziging van de Wet op het wetenschappelijk onderwijs, de Wet universitaire bestuurshervorming 1970 en de Wet twee-fasenstructuur w.o. (aanpassing vormgeving tweede fase)",6
Wijziging van de Wet op het wetenschappelijk onderwijs en van de Collegegeldwet hoger beroepsonderwijs (verhoging bedragen en regeling indexering collegegeld),6
Adviesorganen ten behoeve van de beleidsvoering inzake onderzoek en ontwikkeling op onderscheidene aandachtsgebieden (Raamwet sectorraden onderzoek en ontwikkeling),17
Wijziging van de Politiewet 1993 in verband met de aanpassing van de politieklachtregeling aan hoofdstuk 9 van de Algemene wet bestuursrecht,12
"Intrekking van de Wet van 9 juli 1906, Stb. 180, tot wijziging der bepalingen betreffende het begraven van lijken van militairen beneden de rang van officier voor rekening van de Staat",16
Opschorting van de overgang van rechtswege van gemeenten van rijks- naar gemeentepolitie en omgekeerd,12
Regelen betreffende melding over buitenlandse boycotmaatregelen (Wet melding buitenlandse boycotmaatregelen),18
Tijdelijke verlaging van de verschuldigde pensioenbijdrage als bedoeld in de Algemene burgerlijke pensioenwet over 1986 en 1987,5
Nieuwe bepalingen inzake het kiesrecht en de verkiezingen (Kieswet),2
Wijziging van de inkomstenbelasting en de loonbelasting in het kader van het werkgelegenheids- en inkomensbeleid 1992,1
