text,annotation
Dispõe sobre a criação de Varas do Trabalho na jurisdição do Tribunal Regional do Trabalho da 10ª Região e dá outras providências.,22
"Altera a Lei nº 9.503, de 23 de setembro de 1997, que institui o Código de Trânsito Brasileiro.",8
"Denomina Anel Rodoviário Celso Mello Azevedo o trecho das rodovias BR-040 e BR-381 correspondente ao anel rodoviário de Belo Horizonte, no Estado de Minas Gerais.",22
"Altera a Lei nº 8.213, de 24 de julho de 1991, para isentar o aposentado por invalidez e o pensionista inválido beneficiários do Regime Geral da Previdência Social - RGPS de se submeterem a exame médico-pericial após completarem 60 (sessenta) anos de idade.",6
"Acrescenta artigo à Lei nº 5.889, de 8 de junho de 1973, criando o contrato de trabalhador rural por pequeno prazo; estabelece normas transitórias sobre a aposentadoria do trabalhador rural; prorroga o prazo de contratação de financiamentos rurais de que trata o § 6º do art. 1º da Lei nº 11.524, de 24 de setembro de 2007; e altera as Leis nºs 8.171, de 17 de janeiro de 1991, 7.102, de 20 de junho de 1993, 9.017, de 30 de março de 1995, e 8.212 e 8.213, ambas de 24 de julho de 1991.",7
"Abre ao Orçamento de Investimento, para 2003, em favor de diversas empresas estatais, crédito suplementar no valor total de R$ 1.158.981.531,00, e reduz o Orçamento de Investimento de diversas empresas no valor global de R$ 1.327.250.629,00, para os fins que especifica.",20
"Dispõe sobre o ensino na Aeronáutica; e revoga o Decreto-Lei nº 8.437, de 24 de dezembro de 1945, e as Leis nºs 1.601, de 12 de maio de 1952, e 7.549, de 11 de dezembro de 1986.",6
"Altera dispositivos da Lei nº 11.322, de 13 de julho de 2006, que dispõe sobre a renegociação de dívidas oriundas de operações de crédito rural contratadas na área de atuação da Agência de Desenvolvimento do Nordeste - ADENE, e dá outras providências.",4
Transforma os cargos de Juiz de Direito em Juiz de Direito de Turma Recursal no Quadro Permanente da Justiça do Distrito Federal e dos Territórios.,12
"Abre ao Orçamento de Investimento, para 2004, em favor de diversas empresas estatais federais, crédito especial no valor total de R$ 31.408.596,00, para os fins que especifica.",20
"Reorganiza o Quadro Especial de Terceiros-Sargentos do Exército, dispõe sobre a promoção de soldados estabilizados do Exército à graduação de cabo e dá outras providências.",6
"Altera o art. 7º da Lei nº 8.906, de 4 de julho de 1994, para dispor sobre o direito à inviolabilidade do local e instrumentos de trabalho do advogado, bem como de sua correspondência.",6
Institui o Dia Nacional do Engenheiro de Pesca a ser comemorado na data de 14 de dezembro.,9
"Abre ao Orçamento Fiscal da União, em favor do Ministério das Cidades, crédito especial no valor de R$ 1.685.264.352,00, para os fins que especifica.",14
"Dispõe sobre a revisão do subsídio do Procurador-Geral da República, referido no inciso XI do art. 37 e no § 4º do art. 39, c/c o § 2º do art. 127 e a alínea c do inciso I do § 5º do art. 128, todos da Constituição Federal.",23
"Abre ao Orçamento Fiscal da União, em favor do Ministério das Cidades e da Reserva de Contingência, crédito suplementar no valor global de R$ 20.000.000,00 para reforço de dotações consignadas na Lei Orçamentária vigente.",14
Cria funções comissionadas e cargos de provimento efetivo no Quadro de Pessoal do Tribunal Regional do Trabalho da 2ª Região e dá outras providências.,6
"Institui o Plano Especial de Cargos da Cultura e a Gratificação Específica de Atividade Cultural - GEAC; cria cargos de provimento efetivo; altera dispositivos das Leis nºs 10.862, de 20 de abril de 2004, 11.046, de 27 de dezembro de 2004, 11.094, de 13 de janeiro de 2005, 11.095, de 13 de janeiro de 2005, e 11.091, de 12 de janeiro de 2005; revoga dispositivos da Lei nº 10.862, de 20 de abril de 2004; e dá outras providências.",23
"Denomina Rodovia Engenheiro Fabiano Vivacqua o trecho da rodovia BR-482, entre o entroncamento com a BR-101 no Espírito Santo e a divisa com Minas Gerais.",9
"Abre aos Orçamentos Fiscal e da Seguridade Social da União, em favor dos Ministérios da Previdência Social e do Trabalho e Emprego, crédito suplementar no valor global de R$ 4.485.555.429,00, para reforço de dotações constantes da Lei Orçamentária vigente.",5
"Revoga o § 4º do art. 107 da Lei nº 7.565, de 19 de dezembro de 1986 (Código Brasileiro de Aeronáutica).",8
"Abre crédito extraordinário no valor global de R$ 858.478.335,00 (oitocentos e cinqüenta e oito milhões, quatrocentos e setenta e oito mil, trezentos e trinta e cinco reais), em favor da Presidência da República, dos Ministérios da Educação, da Justiça, das Relações Exteriores, da Defesa e de Operações Oficiais de Crédito, para os fins que especifica.",6
"Denomina Rodovia Presidente Juscelino Kubitschek o trecho da rodovia BR-040 compreendido entre as cidades de Brasília, Distrito Federal, e Petrópolis, Estado do Rio de Janeiro.",8
"Abre ao Orçamento Fiscal da União, em favor de diversos órgãos do Poder Executivo, crédito suplementar no valor global de R$ 59.653.549,00, para reforço de dotações consignadas na Lei Orçamentária vigente.",20
"Acrescenta Título VII-A à Consolidação das Leis do Trabalho (CLT), aprovada pelo Decreto-Lei nº 5.452, de 1º de maio de 1943, para instituir a Certidão Negativa de Débitos Trabalhistas, e altera a Lei nº 8.666, de 21 de junho de 1993.",5
Autoriza o Poder Executivo a criar a empresa pública denominada Empresa Brasileira de Hemoderivados e Biotecnologia - HEMOBRÁS e dá outras providências.,8
Institui o Dia do DeMolay.,23
Dispõe sobre o salário mínimo a partir de 1º de março de 2008.,5
"Estabelece normas especiais para as compras, as contratações e o desenvolvimento de produtos e de sistemas de defesa; dispõe sobre regras de incentivo à área estratégica de defesa; altera a Lei nº 12.249, de 11 de junho de 2010; e dá outras providências.",16
"Altera a Lei nº 5.859, de 11 de dezembro de 1972, para dispor sobre multa por infração à legislação do trabalho doméstico, e dá outras providências.",5
"Abre ao Orçamento de Investimento para 2004, em favor de empresas do Grupo PETROBRÁS, crédito especial no valor total de R$ 179.286.733,00, para os fins que especifica.",8
"Abre ao Orçamento Fiscal da União, em favor dos Ministérios do Meio Ambiente e da Integração Nacional, crédito suplementar no valor global de R$ 65.367.000,00 para reforço de dotações constantes da Lei Orçamentária vigente.",7
"Abre ao Orçamento Fiscal da União, em favor dos Ministérios da Justiça e da Defesa, crédito suplementar no valor global de R$ 32.000.251,00, para reforço de dotações constantes da Lei Orçamentária vigente, e dá outras providências.",12
Institui o dia 23 de fevereiro como o Dia Nacional do Movimento Municipalista Brasileiro.,19
Institui o ano de 2008 como Ano Nacional Machado de Assis.,7
"Extingue o Conselho Diretor do Fundo de Garantia à Exportação - CFGE, altera dispositivos da Lei nº 9.818, de 23 de agosto de 1999, e dá outras providências.",19
"Abre ao Orçamento da Seguridade Social da União, em favor do Ministério da Saúde, crédito suplementar no valor de R$ 446.823.143,00, para reforço de dotações constantes da Lei Orçamentária vigente.",3
"Altera as Leis nºs 7.853, de 24 de outubro de 1989, e 10.683, de 28 de maio de 2003; dispõe sobre a transformação da Secretaria Especial de Aquicultura e Pesca da Presidência da República em Ministério da Pesca e Aquicultura; cria cargos em comissão do Grupo-Direção e Assessoramento Superiores - DAS e Gratificações de Representação da Presidência da República; e dá outras providências.",8
Institui o Dia Nacional da Câmara Júnior.,6
"Autoriza a União e as entidades da administração pública federal indireta a contratar, reciprocamente ou com fundo privado do qual seja o Tesouro Nacional cotista único, a aquisição, alienação, cessão e permuta de ações, a cessão de créditos decorrentes de adiantamentos efetuados para futuro aumento de capital, a cessão de alocação prioritária de ações em ofertas públicas ou a cessão do direito de preferência para a subscrição de ações em aumentos de capital; autoriza a União a se abster de adquirir ações em aumentos de capital de empresas em que possua participação acionária; altera a Lei nº 11.775, de 17 de setembro de 2008; e dá outras providências.",15
"Abre ao Orçamento Fiscal da União, em favor dos Ministérios de Minas e Energia e dos Transportes, crédito especial no valor de R$ 14.346.000,00, para os fins que especifica.",8
"Institui o Programa Universidade para Todos - PROUNI, regula a atuação de entidades beneficentes de assistência social no ensino superior; altera a Lei nº 10.891, de 9 de julho de 2004, e dá outras providências.",6
"Denomina Aeroporto de Londrina - Governador José Richa o Aeroporto de Londrina, no Estado do Paraná.",4
"Altera as Leis nºs 8.248, de 23 de outubro de 1991, 8.387, de 30 de dezembro de 1991, e 10.176, de 11 de janeiro de 2001, dispondo sobre a capacitação e competitividade do setor de tecnologia da informação, e dá outras providências.",8
Institui a Fundação Universidade Federal do Pampa - UNIPAMPA e dá outras providências.,6
