text,annotation
"Employment of Women and Young Persons Act, 1936 c. 24. An Act to make pro vision for the employment of women and young persons in factories and workshops on a system of shifts, and for purposes connected with the matter aforesaid.",0
"School Crossing Patrols Act, 1953 c. 45. An Act to provide for the authorisation of measures for the control of traffic, at places where children cross roads on their way to or from school, by persons other than police constables",0
Criminal Injuries Compensation Act 1995 (c.53). An Act to provide for the establishment of a scheme for compensation for criminal injuries.,0
"Prisoners and Criminal Proceedings (Scotland) Act 1993 (c.9). An Act to amend the law of Scotland with respect to the detention, transfer and release of persons serving sentences of imprisonment etc. or committed or remanded in custody; to make further provision as regards evidence and procedure in criminal proceedings in Scotland; and for connected purposes.",0
Unemployment Insurance Act 1920 c. 30. An Act to amend the Law in respect of Insurance against Unemployment,0
"Electricity Supply (Meters) Act, 1936 c. 20. An Act to make better provision for the measurement of electricity supplied by authorised undertakers",0
British Shipbuilders Act 1983 c. 15. An Act to make further provision with respect to the functions and activities of British Shipbuilders,0
"Maintenance Orders Act, 1950 c. 37. An Act to enable certain maintenance orders and other orders relating to married persons and children to be made and enforced throughout the United Kingdom",0
"Consolidated Fund (No. 2) Act, 1915 c. 33. An Act to apply certain sums out of the Consolidated Fund to the service of the years ending on the thirty-first day of March one thousand nine hundred and fourteen, one thousand nine hundred and fifteen, and one thousand nine hundred and sixteen.",0
"Fishery Harbours (Continuance of Powers) Act 1917 c. 39. An Act to revive and continue temporarily the power of making Orders under the Fishery Harbours Act, 1915.",0
"Betting, Gaming and Lotteries (Amendment) Act 1980 c. 18. An Act to amend the provisions of the Betting, Gaming and Lotteries Acts 1963 to 1971 in relation to the number of races on which betting may take place on dog racecourses on any day and in relation to the number of special betting days",0
Fossil Fuel Levy Act 1998 (c. 5). An Act to amend section 33 of the Electricity Act 1989.,0
Rating (Former Agricultural Premises and Rural Shops) Act 2001 c.14. An Act to make provision about non-domestic rating in respect of hereditaments including land or buildings which were formerly agricultural and in respect of food stores in rural settlements.,0
"Recreational Charities Act, 1958 c. 17. An Act to declare charitable under the law of England and Wales the provision in the interests of social welfare of facilities for recreation or other leisure-time occupation, to make similar provision as to certain trusts heretofore established for carrying out social welfare activities within the meaning of the Miners' Welfare Act, 1952, to enable laws for corresponding purposes to be passed by the Parliament of Northern Ireland, and for purposes connected therewith",0
Prevention of Oil Pollution Act 1986 c. 6. An Act to prohibit the discharge from vessels of oil or mixtures containing oil into certain United Kingdom waters; and for connected purposes.,1
Animals (Restriction of Importation) Act 1964 c. 61. An Act to restrict the importation of live animals of certain kinds,0
Public Records Act 1967 c. 44. An Act to reduce the period of fifty years specified in section 5(1) of the Public Records Act 1958 as that for which certain public records must have been in existence for them to be available for public inspection,0
"Energy Act 2011. An Act to make provision for the arrangement and financing of energy efficiency improvements to be made to properties by owners and occupiers; about the energy efficiency of properties in the private rented sector; about the promotion by energy companies of reductions in carbon emissions and home-heating costs; about information relating to energy consumption, efficiency and tariffs; for increasing the security of energy supplies; about access to upstream petroleum infrastructure and downstream gas processing facilities; about a special administration regime for energy supply companies; about designations under the Continental Shelf Act 1964; about licence modifications relating to offshore transmission and distribution of electricity; about the security of nuclear construction sites; about the decommissioning of nuclear sites and offshore infrastructure; for the use of pipelines for carbon capture and storage; for an annual report on contribution to carbon emissions reduction targets; for action relating to the energy efficiency of residential accommodation in England; for the generation of electricity from renewable sources; about renewable heat incentives in Northern Ireland; about the powers of the Coal Authority; for an amendment of section 137 of the Energy Act 2004; for the amendment and repeal of measures relating to home energy efficiency; and for connected purposes.",1
"Protection of Lapwings Act, 1928 c. 2. An Act for the protection of the Lapwing",1
Building Societies (Funding) and Mutual Societies (Transfers) Act 2007 c.26. An Act to make provision in relation to funding limits in respect of building societies; to provide consequential rights to building society members; and to make provision in connection with the transfer of the business of certain mutual societies.,0
"Marshall Aid Commemoration Act, 1953 c. 39. An Act to make provision for the granting of scholarships in commemoration of the assistance received by the United Kingdom under the European Recovery Programme and known as Marshall Aid; and for purposes connected with the matter aforesaid",0
"Radioactive Substances Act, 1948 c. 37. An Act to make provision with respect to radioactive substances and certain apparatus producing radiation",0
"Representation of the People Act 1993 (c.29). An Act to secure that members of the regular army who, except for the purposes of training, are required to serve only in Northern Ireland are not regarded as members of the forces for the purposes of the Representation of the People Act 1983.",0
"Oil Taxation Act 1983 c. 56. An Act to vary the reliefs available for certain expenditure incurred in connection with assets used or to be used in connection with oil fields; to bring into charge to petroleum revenue tax certain sums received or receivable in respect of such assets and of certain other assets situated in the United Kingdom, the territorial sea thereof or a designated area, within the meaning of the Continental Shelf Act 1964; to amend Part II of the Oil Taxation Act 1975 in relation to sums so received or receivable; and for connected purposes.",1
"Protection of Animals Act, 1934 c. 21. An Act to provide further protection to certain animals",1
"Water (Scotland) Act 1967 c. 78. An Act to provide for the establishment of regional water boards and a Central Scotland Water Development Board, and the transfer to those boards of functions in relation to water supply in Scotland previously exercisable by local water authorities, to confer on the Central Scotland Water Development Board functions in relation to the bulk supply of water to their constituent regional water boards, to enable other regional water boards and water development boards to be established by order of the Secretary of State, to amend the Water (Scotland) Acts 1946 and 1949; and for purposes connected with the matters aforesaid",1
"Terrorism Act 2006 c.11. An Act to make provision for and about offences relating to conduct carried out, or capable of being carried out, for purposes connected with terrorism; to amend enactments relating to terrorism; to amend the Intelligence Services Act 1994 and the Regulation of Investigatory Powers Act 2000; and for connected purposes.",0
Consolidated Fund (No. 2) Act 1996 (c. 60). An Act to apply certain sums out of the Consolidated Fund to the service of the years ending on 31st March 1997 and 1998.,0
"Finance Act, 1947 c. 35. An Act to grant certain duties, to alter other duties, and to amend the law relating to the National Debt, the Public Revenue and Savings Banks and to make further provision in connection with Finance",0
"Northern Ireland (Temporary Provisions) Act 1972 c. 22. An Act to make temporary provision for the government of Northern Ireland, and for purposes connected therewith",0
Wild Mammals (Protection) Act 1996 (c. 3). An Act to make provision for the protection of wild mammals from certain cruel acts; and for connected purposes.,1
"Children Act 1989 (c.41). An Act to reform the law relating to children; to provide for local authority services for children in need and others; to amend the law with respect to children's homes, community homes, voluntary homes and voluntary organisations; to make provision with respect to fostering, child minding and day care for young children and adoption; and for connected purposes.",0
"Companies Consolidation (Consequential Provisions) Act 1985 c. 9. An Act to make, in connection with the consolidation of the Companies Acts 1948 to 1983 and other enactments relating to companies, provision for transitional matters and savings, repeals (including the repeal, in accordance with recommendations of the Law Commission, of certain provisions of the Companies Act 1948 which are no longer of practical utility) and consequential amendments of other Acts.",0
"Public Utility Transfers and Water Charges Act 1988 (c.15). An Act to confer powers on water authorities, electricity boards and the Electricity Council to act in relation to proposals for the transfer of any of the property or functions of water authorities or electricity boards to other bodies corporate; and to make provision for and in connection with the fixing of charges by water undertakers.",1
"British Sugar (Subsidy) Act, 1925 c. 12. An Act to provide for the payment of a subsidy in respect of sugar and molasses manufactured in Great Britain during a period of ten years beginning on the first day of October, nineteen hundred and twenty-four, from beet grown in Great Britain, and to charge a duty of excise on sugar and molasses manufactured in Great Britain and Northern Ireland from beet grown in those countries",1
"Coastal Flooding (Emergency Provisions) Act, 1953 c. 18. An Act to make provision for work for defence against sea water in localities affected by the flood of January, 1953, to provide for the rehabilitation of agricultural land damaged by salt water, and for purposes connected with the matters aforesaid",1
"Dangerous Drugs and Poisons (Amendment) Act, 1923 c. 5. An Act to amend the Dangerous Drugs Act, 1920, and section seventeen of the Pharmacy Act, 1868, and to prescribe the method of calculating percentages in liquid preparations for the purpose of the Poisons and Pharmacy Act, 1908, and the Dangerous Drugs Act, 1920.",0
Coal Industry Act 1983 c. 60. An Act to increase the limit on the borrowing powers of the National Coal Board; and to make further provision with respect to grants and payments by the Secretary of State in connection with the coal industry,1
"Electricity Act 1989 (c.29). An Act to provide for the appointment and functions of a Director General of Electricity Supply and of consumers' committees for the electricity supply industry; to make new provision with respect to the supply of electricity through electric lines and the generation and transmission of electricity for such supply; to abolish the Electricity Consumers' Council and the Consultative Councils established under the Electricity Act 1947; to provide for the vesting of the property, rights and liabilities of the Electricity Boards and the Electricity Council in companies nominated by the Secretary of State and the subsequent dissolution of those Boards and that Council; to provide for the giving of financial assistance in connection with the storage and reprocessing of nuclear fuel, the treatment, storage and disposal of radioactive waste and the decommissioning of nuclear installations; to amend the Rights of Entry (Gas and Electricity Boards) Act 1954 and the Local Government (Scotland) Act 1973; and for connected purposes.",1
"War Damage (Extension of Risk Period) Act 1941 c. 37. An Act to extend the provisions of the War Damage Act, 1941, relating to payments in respect of war damage under Part I of that Act to damage occurring after the thirty-first day of August, nineteen hundred and forty-one",0
Expiring Laws Continuance Act 1970 c. 58. An Act to continue certain expiring laws.,0
"Fire Services (Emergency Provisions) Act 1941 c. 22. An Act to provide for the reorganisation and improvement of the fire services of Great Britain, and for purposes connected with the matters aforesaid",0
"Gas Act 1986 c. 44. An Act to provide for the appointment and functions of a Director General of Gas Supply and the establishment and functions of a Gas Consumers' Council; to abolish the privilege conferred on the British Gas Corporation by section 29 of the Gas Act 1972; to make new provision with respect to the supply of gas through pipes and certain related matters; to provide for the vesting of the property, rights and liabilities of the British Gas Corporation in a company nominated by the Secretary of State and the subsequent dissolution of that Corporation; to make provision with respect to, and to information furnished in connection with, agreements relating to the initial supply of gas won under the authority of a petroleum production licence; and for connected purposes.",0
State Pension Credit Act 2002 c.16. An Act to make provision for and in connection with a new social security benefit called state pension credit; and to amend section 47(1) of the Pension Schemes Act 1993.,0
Representation of the People Act 1978 c. 32. An Act to increase the limits on candidates' election expenses at parliamentary elections and to enable the Secretary of State by order to vary the limits on candidates' election expenses at parliamentary and other elections,0
"Government of India (Indian Navy) Act, 1927 c. 8. An Act to amend the Government of India Act with a view to facilitating the provision of an Indian Navy, and to make consequential amendments in the Naval Discipline Act",0
"Navy, Army and Air Force Reserves Act 1964 c. 11. An Act to make further provision with respect to navy, army and air force reserves",0
Sunday Working (Scotland) Act 2003 c. 18. An Act to make provision as to the rights of shop workers and betting workers under the law of Scotland in relation to Sunday working; and for connected purposes.,0
"Finance Act 1975 c. 7. An Act to grant certain duties, to alter other duties, and to amend the law relating to the National Debt and the Public Revenue, and to make further provision in connection with Finance",0
"Telegraph (Money) Act 1920 c. 37. An Act to provide for raising further Money for the purpose of the Telegraph Acts, 1863 to 1916, and to amend section four of the Telegraph (Money) Act, 1876",0
"Coal Act 1943 c. 38. An Act to amend the Coal Act, 1938, and dissolve the Coal Mines National Industrial Board",0
Forestry Act 1991 (c.43). An Act to increase from nine to twelve the maximum number of members of a regional advisory committee maintained under section 37 of the Forestry Act 1967.,1
"Water Industry (Financial Assistance) Act 2012. An Act to make provision for the giving of financial assistance for the purpose of securing the reduction of charges for the supply of water and the provision of sewerage services and in connection with the construction of, and the carrying out of works in respect of, water and sewerage infrastructure.",1
"Expiring Laws Continuance Act, 1948 c. 3. An Act to continue certain expiring laws.",0
"Merchant Shipping (Minicoy Lighthouse) Act 1960 c. 42. An Act to enable the lighthouse on Minicoy Island and sums held in the General Lighthouse Fund in connection therewith to be transferred to the Government of India, and for purposes connected with the matter aforesaid.",0
"Land Charges Act, 1925 c. 22. An Act to consolidate the enactments relating to the registration of pending actions, annuities, writs, orders, deeds of arrangement and land charges, and to searches",0
"Requisitioned Houses and Housing (Amendment) Act, 1955 c. 24. An Act to repeal the power to requisition land for housing purposes under Defence Regulations and transfer to local authorities in England and Wales the right to possession of requisitioned houses for a limited period; to make provision for the earlier release of such houses in certain cases and for matters connected therewith; to authorise payments out of moneys provided by Parliament in respect of expenditure of local authorities to whom the said right is transferred; to regulate the payment of sums issued out of the consolidated fund under subsection (1) of section eight of the Housing (Temporary Accommodation) Act, 1944; to amend sections ninety-four and one hundred and fifty of the Housing (Scotland) Act, 1950; and for purposes connected with the matters aforesaid",0
"War Loan Act 1918 c. 25. An Act to make further provision for raising Money for the present War, and to amend the War Loan (Supplemental Provisions) Act, 1915",0
"Border Rivers (Prevention of Pollution) Act, 1951 c. 7. An Act to make provision for the constitution of, and other matters relating to, joint committees of river boards and river purification boards on either side of the border in connection with the functions of those boards relating to the prevention of river pollution.",1
Control of Smoke Pollution Act 1989 (c.17). An Act to amend section 16(1)(a) of the Clean Air Act 1956 and section 1 of the Clean Air Act 1968.,1
"Registration of Births, Deaths and Marriages (Special Provisions) Act, 1957 c. 58. An Act to provide for the registration of births, deaths and marriages occurring out of the United Kingdom among members of the armed forces and certain other persons, or occurring on board certain ships or aircraft; and for purposes connected with the matters aforesaid",0
"Arbitration (Foreign Awards) Act, 1930 c. 15. An Act to give effect to a certain convention on the execution of Arbitral Awards and to amend subsection (1) of section one of the Arbitration Clauses (Protocol) Act, 1924",0
"Gas Act, 1948 c. 67. An Act to provide for the establishment of Area Gas Boards and a Gas Council and for the exercise and performance by those Boards and that Council of functions relating to the supply of gas and coke and certain other matters; for the transfer to such Boards as aforesaid and to the said Council of property, rights, obligations and liabilities of gas undertakers and other persons; for co-ordinating the activities of Area Gas Boards and the National Coal Board relating to carbonization; to amend the law relating to the supply of gas; to make certain consequential provision as to income tax; and for purposes connected with the matters aforesaid.",0
"Camps Act 1939 c. 22. An Act to promote and facilitate the construction, maintenance and management of camps of a permanent character",0
"Shops Act, 1911 c. 54. An Act to amend and extend the Shops Regulation Acts, 1892 to 1904.",0
"Coal Mining Subsidence Act 1991 (c.45). An Act to repeal and re-enact with amendments the Coal-Mining (Subsidence) Act 1957 and, in the Coal Industry Act 1975, section 2(4) and paragraphs 1 to 4 of Schedule 1; to make provision for imposing further obligations on the British Coal Corporation, including obligations corresponding to those voluntarily accepted by them under their code of practice concerning compensation for subsidence damage; and for connected purposes.",1
