text,annotation
Betting Duties Act 1963 c. 3. An Act to consolidate certain enactments relating to the pool betting and bookmakers' licence duties,0
"Army (Annual) Act, 1914 c. 2. An Act to provide, during Twelve Months, for the Discipline and Regulation of the Army.",0
"Irish Free State Constitution Act, 1922 (Session 2) c. 1. An Act to provide for the Constitution of the Irish Free State.",0
Tanzania Act 1969 c. 29. An Act to make provision for modifying the law in consequence of the union of Tanganyika and Zanzibar to form the United Republic of Tanganyika and Zanzibar as a republic within the Commonwealth and the subsequent adoption by that republic of the name of Tanzania; to make provision as to the operation of the Colonial and Other Territories (Divorce Jurisdiction) Acts 1926 to 1950 in relation to the courts of Tanganyika and of the united republic; and for purposes connected therewith,0
"Finance Act 1978 c. 42. An Act to grant certain duties, to alter other duties, and to amend the law relating to the National Debt and the Public Revenue, and to make further provision in connection with Finance",0
Theatres Act 1968 c. 54. An Act to abolish censorship of the theatre and to amend the law in respect of theatres and theatrical performances,0
Planning (Hazardous Substances) (Scotland) Act 1997 (c. 10). An Act to consolidate certain enactments relating to special controls in respect of hazardous substances with amendments to give effect to recommendations of the Scottish Law Commission.,0
"Consolidated Fund Act 1990 (c.4). An Act to apply certain sums out of the Consolidated Fund to the service of the years ending on 31st March 1989, 1990 and 1991.",0
"Expiring Laws Continuance Act, 1929 c. 12. An Act to continue certain expiring laws.",0
"Agricultural Marketing (No. 2) Act, 1933 c. 1. An Act to make further provision with respect to the financial powers of boards administering schemes under the Agricultural Marketing Act, 1931, and with respect to the contents of such schemes; to extend the power to make loans to such boards under section thirteen of the said Act; and for purposes connected with the matters aforesaid",0
"Unemployment Insurance (No. 2) Act, 1924 c. 30. An Act to amend the Unemployment Insurance Acts, 1920 to 1924.",0
"Charitable Trusts (Validation) Act, 1954 c. 58. An Act to validate under the law of England and Wales, and restrict to charitable objects, certain instruments taking effect before the sixteenth day of December, nineteen hundred and fifty-two, and providing for property to be held or applied for objects partly but not exclusively charitable, and to enable corresponding provision to be made by the Parliament of Northern Ireland",0
"Transport Act 1962 c. 46. An Act to provide for the re-organisation of the nationalised transport undertakings now carried on under the Transport Act, 1947, and for that purpose to provide for the establishment of public authorities as successors to the British Transport Commission, and for the transfer to them of undertakings, parts of undertakings, property, rights, obligations and liabilities; to repeal certain enactments relating to transport charges and facilities and to amend in other respects the law relating to transport, inland waterways, harbours and port facilities; and for purposes connected with the matters aforesaid",0
"National Insurance (Part II.) (Munition Workers) Act, 1916 c. 20. An Act to extend the provisions of the National Insurance Act, 1911, relating to unemployment insurance to certain trades and employments in connection with the present war",0
"Diplomatic Privileges (Extension) Act, 1946 c. 66. An Act to amend the Diplomatic Privileges (Extension) Act, 1944, in connection with the general convention on privileges and immunities of the United Nations approved at the first General Assembly thereof and in connection with certain resolutions taken at the said Assembly",0
"Finance (Income Tax Reliefs) Act 1977 c. 53. An Act to make further increases in the personal reliefs referred to in section 22(1)(a), (b) and (c) and (3) of the Finance Act 1977 and to exempt from income tax for the year 1977-78 any general increase taking effect in that year in social security and other pensions and allowances",0
"Ministers of the Crown (Transfer of Functions) Act, 1946 c. 31. An Act to facilitate the redistribution of functions between Ministers of the Crown, and the alteration of the style and title of such Ministers; and to make further provision with respect to the Minister of Food, the Minister of Labour and National Service, the Minister of Transport and the Secretary of the Department of Overseas Trade",0
"National Health Insurance and Contributory Pensions Act, 1932 c. 52. An Act to amend the enactments relating to National Health Insurance; to amend the Widows', Orphans' and Old Age Contributory Pensions Act, 1925, by making provision for the payment of pensions thereunder in respect of the insurance of persons who cease to be insured within twelve months before death or before attaining the age of sixty-five, and by modifying the statutory conditions applicable to such pensions in the case of persons who, after ceasing to be insured, again become insured; to repeal subsection (7) of section forty-four of the said Act; and for purposes connected therewith",0
"Development of Inventions Act, 1954 c. 20. An Act to extend to ten years the period during which advances may be made to the National Research Development Corporation out of the Consolidated Fund and during which the Board of Trade may with the approval of the Treasury waive payments by way of interest on such advances; to make further provision as to the functions of the Corporation relating to research; and otherwise to amend the Development of Inventions Act, 1948",1
"Rolls-Royce (Purchase) Act 1971 c. 9. An Act to make provision for and in connection with the acquisition for the benefit of the Crown of any part of the undertaking and assets of Rolls-Royce Ltd. or its subsidiaries, and the carrying on of any undertaking so acquired, and for purposes connected therewith",0
"Monopolies and Restrictive Practices Commission Act , 1953 c. 51. An Act to make provision for a chairman and deputy chairmen of the Monopolies and Restrictive Practices Commission, and for the tenure of office and superannuation benefits of the chairman and deputy chairmen thereof; to enable functions of the Commission to be exercised by groups of its members; and for purposes connected with the matters aforesaid",0
Cinematograph (Amendment) Act 1982 c. 33. An Act to extend and amend the Cinematograph Acts 1909 and 1952,0
"Appropriation Act, 1937 c. 55. An Act to apply a sum out of the Consolidated Fund to the service of the year ending on the thirty-first day of March, one thousand nine hundred and thirty-eight, and to appropriate the Supplies granted in this Session of Parliament",0
"European Communities (Amendment) Act 1998 (c. 21). An Act to make provision consequential on the Treaty signed at Amsterdam on 2nd October 1997 amending the Treaty on European Union, the Treaties establishing the European Communities and certain related Acts.",0
"Science and Technology Act 1965 c. 4. An Act to make further provision with respect to the responsibility and powers in relation to scientific research and related matters of the Secretary of State, the Minister of Technology and certain chartered bodies and other organisations, and for purposes connected therewith",1
"Heating Appliances (Fireguards) Act, 1952 c. 42. An Act to prohibit the sale or letting of certain heating appliances without an effective fireguard; and for purposes connected therewith",0
"Maritime Conventions Act, 1911 c. 57. An Act to amend the Law relating to Merchant Shipping with a view to enabling certain Conventions to be carried into effect.",0
"Consolidated Fund (No. 3) Act, 1953 c. 2. An Act to apply a sum out of the Consolidated Fund to the service of the year ending on the thirty-first day of March, one thousand nine hundred and fifty-four",0
Administration of Justice (Judges and Pensions) Act 1960 c. 3. An Act to provide for the appointment of additional judges of the High Court and Court of Appeal; and to make further provision with respect to the pensions of certain judicial officers,0
Water Act 1981 c. 12. An Act to provide for increasing the borrowing powers of the British Waterways Board and to make further provision relating to water supply,0
"Protection of Wrecks Act 1973 c. 33. An Act to secure the protection of wrecks in territorial waters and the sites of such wrecks, from interference by unauthorised persons; and for connected purposes",0
