id_obs,coder_1,coder_2,consensus,sec_create_1,sec_create_2,sec_review_1,sec_review_2,possibly_sensitive,lang,conversation_id,type,text,author_id,retweet_count,reply_count,like_count,quote_count,impression_count,id,created_at,in_reply_to_user_id,error,TOXICITY,SEVERE_TOXICITY,INSULT_EXPERIMENTAL,THREAT_EXPERIMENTAL,country,INSULT,THREAT,date,tox_60,tox_70,tox_80,tox_90,insult_60,insult_70,insult_80,insult_90,annotation
101238,0,0,1.0,46,28,17,8,False,es,1.295422384430887e+18,retweeted,"#17AJuntosContraLaImpunidad bueno fueee, a promover la cosa.",1244484859726376960,0,0,0,0,0,1.295422384430887e+18,2020-08-17T18:08:58.000Z,,No Error,0.01237757,0.00074386597,0.010058892,0.006110225,Argentina,,,2020-08-17,0,0,0,0,0,0,0,0,0
119343,0,0,1.0,8,6,0,2,False,es,1.2954417334220636e+18,quoted,"Libres, responsables y republicanos 🇦🇷🇦🇷🇦🇷 #17AJuntosContraLaImpunidad",23677018,952,62,3123,20,0,1.2954417334220636e+18,2020-08-17T19:25:52.000Z,,No Error,0.015267765,0.00064373016,0.012680908,0.005780108,Argentina,,,2020-08-17,0,0,0,0,0,0,0,0,0
122343,0,0,1.0,8,6,1,0,False,es,1.295306044944638e+18,retweeted,@eugeconi @ulises2876 TODOS POR #17AJuntosContraLaImpunidad,139521663,0,0,0,0,0,1.2954431170097644e+18,2020-08-17T19:31:21.000Z,615119246.0,No Error,0.010429831,0.0006198883,0.008557882,0.006265574,Argentina,,,2020-08-17,0,0,0,0,0,0,0,0,0
131878,0,0,1.0,4,52,0,1,False,es,1.2954475309233193e+18,retweeted,#17AJuntosContraLaImpunidad  Larreta estás desviando el tránsito para que no quedemos en la 9 de Julio .,1191874719357833216,1,0,2,0,0,1.2954475309233193e+18,2020-08-17T19:48:54.000Z,,No Error,0.03192045,0.0009822845,0.023995465,0.0058577824,Argentina,,,2020-08-17,0,0,0,0,0,0,0,0,0
132171,0,0,1.0,6,15,0,1,False,es,1.2954474015751946e+18,retweeted,Que nos vea el mundo entero. Somos los ciudadanos de bien que amamos nuestro País.   ARGENTINA 🇦🇷🇦🇷🇦🇷🇦🇷🇦🇷🇦🇷#17AJuntosContraLaImpunidad,979750171348291584,0,0,0,0,0,1.2954474015751946e+18,2020-08-17T19:48:23.000Z,,No Error,0.01237757,0.0009822845,0.009127886,0.0061231707,Argentina,,,2020-08-17,0,0,0,0,0,0,0,0,0
133658,0,0,1.0,4,10,0,2,False,es,1.295444376500482e+18,retweeted,@montes_karlos @osvaldobazan @elcoya1977 Vamos Tucumán!! #17AJuntosContraLaImpunidad,2742055809,2,0,5,0,0,1.2954482679715308e+18,2020-08-17T19:51:50.000Z,1748533537.0,No Error,0.01419965,0.00077724457,0.0114269,0.006058442,Argentina,,,2020-08-17,0,0,0,0,0,0,0,0,0
162827,0,0,1.0,4,16,0,2,False,es,1.2954600023213056e+18,retweeted,#17AJuntosContraLaImpunidad Ya van perdiendo hasta la calle.,1015753929563557888,3,0,1,0,0,1.2954600023213056e+18,2020-08-17T20:38:27.000Z,,No Error,0.02685301,0.0010538101,0.019999169,0.006220264,Argentina,,,2020-08-17,0,0,0,0,0,0,0,0,0
163858,0,0,1.0,7,6,1,0,False,es,1.2954603754550515e+18,retweeted,"Cómo molesta lo espontáneo, cosa que NUNCA van a conseguir #17AJuntosContraLaImpunidad",2850782188,1,0,5,0,0,1.2954603754550515e+18,2020-08-17T20:39:56.000Z,,No Error,0.03875561,0.0011777878,0.028612386,0.0058318907,Argentina,,,2020-08-17,0,0,0,0,0,0,0,0,0
165024,0,0,1.0,23,8,2,0,False,es,1.29546109677876e+18,retweeted,"Larreta, gracias por quedarte en casa, habrías sido la única manchita en tremendo día patrio. Senadores y diputados de JxC, nuestro mandato a Uds. está claro. #17AJuntosContraLaImpunidad",351050664,1,0,0,0,0,1.29546109677876e+18,2020-08-17T20:42:48.000Z,,No Error,0.10783285,0.0032997131,0.071750276,0.006653947,Argentina,,,2020-08-17,0,0,0,0,0,0,0,0,0
168227,0,0,1.0,8,7,2,0,False,es,1.295462668250288e+18,retweeted,"#17AJuntosContraLaImpunidad @JoseLuisRamonOk  José, en el centro de Mendoza había este Cartel. No apoyes la reforma judicial",66801246,0,0,1,0,0,1.295462668250288e+18,2020-08-17T20:49:03.000Z,,No Error,0.029092113,0.0009727478,0.021546122,0.0056959605,Argentina,,,2020-08-17,0,0,0,0,0,0,0,0,0
