"text","annotation"
"#17AJuntosContraLaImpunidad bueno fueee, a promover la cosa.",0
"Libres, responsables y republicanos 🇦🇷🇦🇷🇦🇷 #17AJuntosContraLaImpunidad",0
"@eugeconi @ulises2876 TODOS POR #17AJuntosContraLaImpunidad",0
"#17AJuntosContraLaImpunidad  Larreta estás desviando el tránsito para que no quedemos en la 9 de Julio .",0
"Que nos vea el mundo entero. Somos los ciudadanos de bien que amamos nuestro País.   ARGENTINA 🇦🇷🇦🇷🇦🇷🇦🇷🇦🇷🇦🇷#17AJuntosContraLaImpunidad",0
"@montes_karlos @osvaldobazan @elcoya1977 Vamos Tucumán!! #17AJuntosContraLaImpunidad",0
"#17AJuntosContraLaImpunidad Ya van perdiendo hasta la calle.",0
"Cómo molesta lo espontáneo, cosa que NUNCA van a conseguir #17AJuntosContraLaImpunidad",1
"Larreta, gracias por quedarte en casa, habrías sido la única manchita en tremendo día patrio. Senadores y diputados de JxC, nuestro mandato a Uds. está claro. #17AJuntosContraLaImpunidad",0
"#17AJuntosContraLaImpunidad @JoseLuisRamonOk  José, en el centro de Mendoza había este Cartel. No apoyes la reforma judicial",0
"#17AJuntosContraLaImpunidad #17APorLaRepublica pena por la gente que reacciona así: 😡😆 a las fotos y videos en Facebook o que se enfoca en la marca de los vehículos que con esfuerzo compraron",0
"De acuerdo con la marcha y no dudo que cristina dbe ser juzgada como cualquier ciudadano. Pero el escrache en frente d su depto no me parece bien. Hay que ser .mejores que ellos por mas que cueste  #17AJuntosContraLaImpunidad",0
"#17AJuntosContraLaImpunidad o seremos libres o no seremos nada! Viva la libertad carajo🇦🇷💪",0
"Hagan el duelo chicxs  #17AJuntosContraLaImpunidad",0
"Que inconscientes los que fueron a la marcha hermano  #17AJuntosContraLaImpunidad",0
"#17AJuntosContraLaImpunidad q orgullo argentinos",0
"Orgullo del pueblo Republicano Argentino!!!!!! #17AJuntosContraLaImpunidad",0
"@clarincom Estemos atentos .... yo no les creo...#17APorLaRepublica #17a #17AJuntosContraLaImpunidad",0
"#17AHacemosHistoria por la libertad justicia inseguridad #QueSeVayanTodos",0
"@DanannRock Por eso #QueSeVayanTodos",1
"@CCC_Arg muy conveniente #JusticiaPorSolange #QueSeVayanTodos",0
"@PregoneroL Encontraremos una salida, tenemos gente honesta y capaz. Hay derecho a equivocarse y estará la posibilidad de corregir y cambiar mientras haya buena fe en las personas que asuman el desafío. Hoy quienes se apoderaron de nuestra vida, NO TIENEN buena fe. Sí, #QueSeVayanTodos",0
"Hartazgo de los ciudadanos honestos y defensores de la República. Llegó la hora de exigir #QUESEVAYANTODOS      #QUESEVAYANTODOS    #QUESEVAYANTODOS",0
"@Winston_Dunhill En el 2001 tuvimos una chances no desperdiciemos está #QueSeVayanTodos",0
"@USDtin Un lindo paseo por la plaza..a pedir #QueSeVayanTodos",0
"@pabloduggan Te tiro una: #QueSeVayanTodos",0
"@dipypapa creo que tu mensaje es muy valioso para la Republica que queremos construir. Pero me atrevo a sujerirte que no nos sirve el #Quesevayantodos necesitamos una mínima institucionalidad para comenzar a construir. Vos podes ayudar para que votemos mejor.",0
"@Juan79407977 Si llegan aprobar la reforma judicial tenemos que resistir todos en las calles hasta #QueSeVayanTodos",0
"@josefinah05 Propongo cacerolazo todos los días hasta la marcha del #26ATodosAlCongreso",0
"Hay que asegurar bien que esta sea la fecha, hasta ahora todo parece que quieren seccionar este día, de ser así...#26ATodosAlCongreso  #26ANoALaReformaJudicial",0
"@Claudde @Kouk1424 @wadodecorrido Vos querés q le diga q #MacriEsElLider  ? Eso querés q le diga que #MacriEsElLider y el #26ATodosAlCongreso ? Ud pide yo cumplo 🤷🙄🙃💥",1
"El #26ATodosAlCongreso creo que será inolvidable!",0
"Veremos cuántos políticos nos acompañan #26ATodosAlCongreso, de esa misma forma los vamos a acompañar en las urnas!!!",0
"@MovimientoSepa #26ATodosAlCongreso  #26ANoALaReformaJudicial la van a tratar de sacar ese día",0
"La diferencia se hace en la calle no militando por Twitter #26ATodosAlCongreso",0
"Qué pasa con la gente de bien que sueña con un país serio? Qué pasa con la clase dirigente en general? Van a ser cómplices? Van a condenar a un país con su silencio, acción u omisión? La libertad no se negocia!#26ATodosAlCongreso",0
"#26ATodosAlCongreso NO ME VAN A DOBLEGAR  DIJO ALBERTITERE SABRA LA POROTA",0
"Che alguien sabe realmente de que se trata la famosa reforma judicial ??#26ATodosAlCongreso",0
"#26ATodosAlCongreso por nuestros hijos, nietos y la patria, EL PUEBLO ES EL ÚNICO SOBERANO, ayudemos a difundir! Gracias,gracias, gracias!",0
"Buen día hermoso grupo Twittero! Que tengan una linda jornada! Mientras vemos qué nos deparan las novedades de hoy, vamos calentando motores!      #26ATodosAlCongreso    #26ANoALaReformaJudicial  #26ATodosALaCalle   #26ADecimosBasta  #26AFrenamosLaImpunidad  #26AVigiliaEnElCongre",0
"Lo vengo diciendo hace rato debemos ir a donde les duele, al hueso. #26ATodosAlCongreso, si puede ser antes o mas seguido, mejor. No aflojemos.",0
"@DanielSabsay1 Ssssiiiii.... vamos todos #26ATodosAlCongreso",0
"@SoherElSukaria @alferdez Lo que diferencia muchas veces a los Cordobeses es que no tenemos la moral tal liviana ( me incluyo como Cordobés por adopción). #26ATodosAlCongreso",0
"@WalhallaMann El desastre Venezolano no hubiese ocurrido sin la complicidad de la opocición!! Si dan QUORUM que quilombo se va armar! #26ATodosAlCongreso #26ATodosAlCongreso #26ATodosAlCongreso #26ATodosAlCongreso #26ATodosAlCongreso #26ATodosAlCongreso    No importa otra cosa!",0
"@LaOne24barra7 Si tengo idea . Se lo que es u aunque no lo supiera soy emostics con los que sufren me duele envelnslms este genocidio que estanngsciendo tan macabro todo. #26ATodosAlCongreso #26ANoALaReformaJudicial #FalsaOpisicion #GolpeDeEstadoK art 29 CN  estamos con vos para que esto acabe.",0
"@diegocabot Con mas razón hay que ir el #26ATodosAlCongreso",0
"@PatoBullrich Este #26ATodosAlCongreso hará historia, amén",0
"@PatoBullrich El #26ATodosAlCongreso Incluidos todos los periodistas NO ENSOBRADOS!! Vuelvo a repetir mí fórmula perfecta y NO TIBIA @PatoBullrich  @MiguelPichetto  lo mejor de cambiemos y muy preparados para administrar nuestra nación 💪❤️🇦🇷💪",0
"@elisacarrio @JorgeFerrand11 Grosa Lilita @CoexistirHoy @CuyanoDelSur #26ATodosAlCongreso #26ANoALaReformaJudicialK #26AElInteriorSeSuma @A24COM @MWinazki",0
"#YoNoMarcho por una vez tengan algo de sensatez, y #QuedateEnCasa",0
"#YoNoMarcho ..xvos xmi por todos!!!",0
"Quedarte en casa salva vidas #YoNoMarcho @C5N @telefenoticias @rodrigolussich @AmericaTV #MAUROENAMERICA",0
"#yonomarcho me cuido, te cuido y nos cuidamos",0
"Por mi salud y la de todes! #YoNoMarcho",0
"#YoNoMarcho nosotros tan argentinos uds tan kirchneristas. Hoy marchamos en defensa de la república, las instituciones y la constitución nacional #17ASalimosTodos #NoALaReformaJudicialK",0
"@etupito Jaaaajaaaa!!! #YoNoMarcho",0
"#YoNoMarcho yo-no-marcho. Yo aplaudo a lxs trabajadores de la salud!!!",0
"@rossi_delfina @LANACION Más que contradicciones son actitudes irresponsables. Mandan a los otros al contagio. Por eso, #YoNoMarcho",0
"Está primero en las tendencias.. no existen  #YoNoMarcho",0
"#YoNoMarcho es arriesgarse al pedo, todos los que invitan a la marcha la miran por TN.",1
"#YoNoMarcho xq me cuido y cuido a los míos. Xq salir a expresarse en un momento de pandemia es generar más contagios, ser irresponsable y egoísta ocupando camas q pueden ser para otros !! #YoMeQuedoEnCasa",0
"Las ganas que tengo de ir a resolver cara a cara con los anticuarentena y anti gobierno está situación son insoportables pero di sobrevivimos a esto los voy a ver en la primera movilización que hagan y se van a volver a casa con los dientes en una bolsita. Prometido #YoNoMarcho",1
"#YoNoMarcho porque los mismo que convocan son los que destruyeron el país.",0
"#YoNoMarcho quiero viv@ a mi prójim@ aunque sea Anti K, Antiperonista, libertarios y terraplanistas!",0
"La derecha local, q nunca convocaba a marchas porque prefería golpear las puertas de los cuarteles, sale a marchar ahora cuando la convocatoria es al contagio y a la muerte. #YoNoMarcho",0
"#YoNoMarcho por respeto al personal de salud",0
"@tanoproductor Yo tampoco. Por eso #YoNoMarcho Tano querido",0
"Porque no hay ningún motivo para marchas #YoNoMarcho",0
